Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,Nebraska,1,,62,Big 8
17,Final,2,Florida,2,,,SEC (East)
17,Final,3,Tennessee,4,1,,SEC (East)
17,Final,4,Florida State,8,4,,ACC
17,Final,5,Colorado,7,2,,Big 8
17,Final,6,Ohio State,4,2,,Big Ten
17,Final,7,Kansas State,10,3,,Big 8
17,Final,8,Northwestern,3,5,,Big Ten
17,Final,9,Kansas,11,2,,Big 8
17,Final,10,Virginia Tech,13,3,,Big East
17,Final,11,Notre Dame,6,5,,Ind
17,Final,12,USC,17,5,,Pac-10
17,Final,13,Penn State,15,2,,Big Ten
17,Final,14,Texas,9,5,,SWC
17,Final,15,Texas A&M,19,4,,SWC
17,Final,16,Virginia,18,2,,ACC
17,Final,17,Michigan,14,3,,Big Ten
17,Final,18,Oregon,12,6,,Pac-10
17,Final,19,Syracuse,,,,Big East
17,Final,20,Miami (FL),22,2,,Big East
17,Final,21,Alabama,21,,,SEC (West)
17,Final,22,Auburn,16,6,,SEC (West)
17,Final,23,Texas Tech,,,,SWC
17,Final,24,Toledo,25,1,,MAC
17,Final,25,Iowa,,,,Big Ten
16,1995-12-05,1,Nebraska (11-0-0),1,,50,Big 8
16,1995-12-05,2,Florida (12-0-0),2,,12,SEC (East)
16,1995-12-05,3,Northwestern (10-1-0),3,,,Big Ten
16,1995-12-05,4,Ohio State (11-1-0),5,1,,Big Ten
16,1995-12-05,4,Tennessee (10-1-0),4,,,SEC (East)
16,1995-12-05,6,Notre Dame (9-2-0),6,,,Ind
16,1995-12-05,7,Colorado (9-2-0),7,,,Big 8
16,1995-12-05,8,Florida State (9-2-0),8,,,ACC
16,1995-12-05,9,Texas (10-1-1),9,,,SWC
16,1995-12-05,10,Kansas State (9-2-0),10,,,Big 8
16,1995-12-05,11,Kansas (9-2-0),11,,,Big 8
16,1995-12-05,12,Oregon (9-2-0),12,,,Pac-10
16,1995-12-05,13,Virginia Tech (9-2-0),13,,,Big East
16,1995-12-05,14,Michigan (9-3-0),14,,,Big Ten
16,1995-12-05,15,Penn State (8-3-0),15,,,Big Ten
16,1995-12-05,16,Auburn (8-3-0),17,1,,SEC (West)
16,1995-12-05,17,USC (8-2-1),18,1,,Pac-10
16,1995-12-05,18,Virginia (8-4-0),19,1,,ACC
16,1995-12-05,19,Texas A&M (8-3-0),16,3,,SWC
16,1995-12-05,20,Washington (7-3-1),20,,,Pac-10
16,1995-12-05,21,Alabama (8-3-0),21,,,SEC (West)
16,1995-12-05,22,Miami (FL) (8-3-0),22,,,Big East
16,1995-12-05,23,Clemson (8-3-0),24,1,,ACC
16,1995-12-05,24,Arkansas (8-4-0),23,1,,SEC (West)
16,1995-12-05,25,Toledo (10-0-1),25,,,MAC
15,1995-11-28,1,Nebraska (11-0-0),1,,51,Big 8
15,1995-11-28,2,Florida (11-0-0),3,1,11,SEC (East)
15,1995-11-28,3,Northwestern (10-1-0),4,1,,Big Ten
15,1995-11-28,4,Tennessee (10-1-0),5,1,,SEC (East)
15,1995-11-28,5,Ohio State (11-1-0),2,3,,Big Ten
15,1995-11-28,6,Notre Dame (9-2-0),7,1,,Ind
15,1995-11-28,7,Colorado (9-2-0),8,1,,Big 8
15,1995-11-28,8,Florida State (9-2-0),6,2,,ACC
15,1995-11-28,9,Texas (9-1-1),9,,,SWC
15,1995-11-28,10,Kansas State (9-2-0),10,,,Big 8
15,1995-11-28,11,Kansas (9-2-0),11,,,Big 8
15,1995-11-28,12,Oregon (9-2-0),12,,,Pac-10
15,1995-11-28,13,Virginia Tech (9-2-0),13,,,Big East
15,1995-11-28,14,Michigan (9-3-0),18,4,,Big Ten
15,1995-11-28,15,Penn State (8-3-0),14,1,,Big Ten
15,1995-11-28,16,Texas A&M (8-2-0),15,1,,SWC
15,1995-11-28,17,Auburn (8-3-0),16,1,,SEC (West)
15,1995-11-28,18,USC (8-2-1),17,1,,Pac-10
15,1995-11-28,19,Virginia (8-4-0),19,,,ACC
15,1995-11-28,20,Washington (7-3-1),20,,,Pac-10
15,1995-11-28,21,Alabama (8-3-0),21,,,SEC (West)
15,1995-11-28,22,Miami (FL) (8-3-0),25,3,,Big East
15,1995-11-28,23,Arkansas (8-3-0),23,,,SEC (West)
15,1995-11-28,24,Clemson (8-3-0),24,,,ACC
15,1995-11-28,25,Toledo (10-0-1),,,,MAC
14,1995-11-21,1,Nebraska (10-0-0),1,,44,Big 8
14,1995-11-21,2,Ohio State (11-0-0),2,,13,Big Ten
14,1995-11-21,3,Florida (10-0-0),3,,5,SEC (East)
14,1995-11-21,4,Northwestern (10-1-0),5,1,,Big Ten
14,1995-11-21,5,Tennessee (9-1-0),4,1,,SEC (East)
14,1995-11-21,6,Florida State (9-1-0),6,,,ACC
14,1995-11-21,7,Notre Dame (9-2-0),8,1,,Ind
14,1995-11-21,8,Colorado (9-2-0),9,1,,Big 8
14,1995-11-21,9,Texas (8-1-1),10,1,,SWC
14,1995-11-21,10,Kansas State (9-2-0),7,3,,Big 8
14,1995-11-21,11,Kansas (9-2-0),15,4,,Big 8
14,1995-11-21,12,Oregon (9-2-0),16,4,,Pac-10
14,1995-11-21,13,Virginia Tech (9-2-0),20,7,,Big East
14,1995-11-21,14,Penn State (7-3-0),19,5,,Big Ten
14,1995-11-21,15,Texas A&M (7-2-0),18,3,,SWC
14,1995-11-21,16,Auburn (8-3-0),21,5,,SEC (West)
14,1995-11-21,17,USC (8-2-1),11,6,,Pac-10
14,1995-11-21,18,Michigan (8-3-0),12,6,,Big Ten
14,1995-11-21,19,Virginia (8-4-0),13,6,,ACC
14,1995-11-21,20,Washington (7-3-1),22,2,,Pac-10
14,1995-11-21,21,Alabama (8-3-0),17,4,,SEC (West)
14,1995-11-21,22,Syracuse (8-2-0),23,1,,Big East
14,1995-11-21,23,Arkansas (8-3-0),14,9,,SEC (West)
14,1995-11-21,24,Clemson (8-3-0),24,,,ACC
14,1995-11-21,25,Miami (FL) (7-3-0),25,,,Big East
13,1995-11-14,1,Nebraska (10-0-0),1,,45,Big 8
13,1995-11-14,2,Ohio State (10-0-0),2,,12,Big Ten
13,1995-11-14,3,Florida (9-0-0),3,,5,SEC (East)
