Wk,Date,Rk,School,Prev,Chng,1st,Conf
15,Final,1,Alabama (14-1),2,1,61,SEC (West)
15,Final,2,Clemson (14-1),1,1,,ACC (Atlantic)
15,Final,3,Stanford (12-2),5,2,,Pac-12 (North)
15,Final,4,Ohio State (12-1),7,3,,Big Ten (East)
15,Final,5,Oklahoma (11-2),4,1,,Big 12
15,Final,6,Michigan State (12-2),3,3,,Big Ten (East)
15,Final,7,Texas Christian (11-2),11,4,,Big 12
15,Final,8,Houston (13-1),14,6,,American (West)
15,Final,9,Iowa (12-2),6,3,,Big Ten (West)
15,Final,10,Ole Miss (10-3),16,6,,SEC (West)
15,Final,11,Notre Dame (10-3),8,3,,Ind
15,Final,12,Michigan (10-3),17,5,,Big Ten (East)
15,Final,13,Baylor (10-3),18,5,,Big 12
15,Final,14,Florida State (10-3),9,5,,ACC (Atlantic)
15,Final,15,North Carolina (11-3),10,5,,ACC (Coastal)
15,Final,16,LSU (9-3),22,6,,SEC (West)
15,Final,17,Utah (10-3),20,3,,Pac-12 (South)
15,Final,18,Navy (11-2),21,3,,American (West)
15,Final,19,Oregon (9-4),15,4,,Pac-12 (North)
15,Final,20,Oklahoma State (10-3),13,7,,Big 12
15,Final,21,Wisconsin (10-3),23,2,,Big Ten (West)
15,Final,22,Tennessee (9-4),,,,SEC (East)
15,Final,23,Northwestern (10-3),12,11,,Big Ten (West)
15,Final,24,Western Kentucky (12-2),25,1,,CUSA (East)
15,Final,25,Florida (10-4),19,6,,SEC (East)
14,2015-12-06,1,Clemson (13-0),1,,51,ACC (Atlantic)
14,2015-12-06,2,Alabama (12-1),2,,9,SEC (West)
14,2015-12-06,3,Michigan State (12-1),5,2,1,Big Ten (East)
14,2015-12-06,4,Oklahoma (11-1),3,1,,Big 12
14,2015-12-06,5,Stanford (11-2),7,2,,Pac-12 (North)
14,2015-12-06,6,Iowa (12-1),4,2,,Big Ten (West)
14,2015-12-06,7,Ohio State (11-1),6,1,,Big Ten (East)
14,2015-12-06,8,Notre Dame (10-2),9,1,,Ind
14,2015-12-06,9,Florida State (10-2),10,1,,ACC (Atlantic)
14,2015-12-06,10,North Carolina (11-2),8,2,,ACC (Coastal)
14,2015-12-06,11,Texas Christian (10-2),11,,,Big 12
14,2015-12-06,12,Northwestern (10-2),13,1,,Big Ten (West)
14,2015-12-06,13,Oklahoma State (10-2),14,1,,Big 12
14,2015-12-06,14,Houston (12-1),17,3,,American (West)
14,2015-12-06,15,Oregon (9-3),15,,,Pac-12 (North)
14,2015-12-06,16,Ole Miss (9-3),16,,,SEC (West)
14,2015-12-06,17,Michigan (9-3),19,2,,Big Ten (East)
14,2015-12-06,18,Baylor (9-3),12,6,,Big 12
14,2015-12-06,19,Florida (10-3),18,1,,SEC (East)
14,2015-12-06,20,Utah (9-3),21,1,,Pac-12 (South)
14,2015-12-06,21,Navy (9-2),22,1,,American (West)
14,2015-12-06,22,LSU (8-3),23,1,,SEC (West)
14,2015-12-06,23,Wisconsin (9-3),25,2,,Big Ten (West)
14,2015-12-06,24,Temple (10-3),20,4,,American (East)
14,2015-12-06,25,Western Kentucky (11-2),,,,CUSA (East)
13,2015-11-29,1,Clemson (12-0),1,,55,ACC (Atlantic)
