Wk,Date,Rk,School,Prev,Chng,1st,Conf
16,Final,1,Auburn (14-0),1,,56,SEC (West)
16,Final,2,Texas Christian (13-0),3,1,3,MWC
16,Final,3,Oregon (12-1),2,1,,Pac-10
16,Final,4,Stanford (12-1),5,1,,Pac-10
16,Final,5,Ohio State (12-1),6,1,,Big Ten
16,Final,6,Oklahoma (12-2),9,3,,Big 12 (South)
16,Final,7,Wisconsin (11-2),4,3,,Big Ten
16,Final,8,LSU (11-2),11,3,,SEC (West)
16,Final,9,Boise State (12-1),10,1,,WAC
16,Final,10,Alabama (10-3),15,5,,SEC (West)
16,Final,11,Nevada (13-1),13,2,,WAC
16,Final,12,Arkansas (10-3),8,4,,SEC (West)
16,Final,13,Oklahoma State (11-2),16,3,,Big 12 (South)
16,Final,14,Michigan State (11-2),7,7,,Big Ten
16,Final,15,Mississippi State (9-4),21,6,,SEC (West)
16,Final,16,Virginia Tech (11-3),12,4,,ACC (Coastal)
16,Final,17,Florida State (10-4),23,6,,ACC (Atlantic)
16,Final,18,Missouri (10-3),14,4,,Big 12 (North)
16,Final,19,Texas A&M (9-4),18,1,,Big 12 (South)
16,Final,20,Nebraska (10-4),17,3,,Big 12 (North)
16,Final,21,UCF (11-3),,,,CUSA (East)
16,Final,22,South Carolina (9-5),19,3,,SEC (East)
16,Final,23,Maryland (9-4),,,,ACC (Atlantic)
16,Final,24,Tulsa (10-3),,,,CUSA (West)
16,Final,25,North Carolina State (9-4),,,,ACC (Atlantic)
15,2010-12-05,1,Auburn (13-0),2,1,36,SEC (West)
15,2010-12-05,2,Oregon (12-0),1,1,23,Pac-10
15,2010-12-05,3,Texas Christian (12-0),3,,1,MWC
15,2010-12-05,4,Wisconsin (11-1),4,,,Big Ten
15,2010-12-05,5,Stanford (11-1),5,,,Pac-10
15,2010-12-05,6,Ohio State (11-1),6,,,Big Ten
15,2010-12-05,7,Michigan State (11-1),7,,,Big Ten
15,2010-12-05,8,Arkansas (10-2),8,,,SEC (West)
15,2010-12-05,9,Oklahoma (11-2),10,1,,Big 12 (South)
15,2010-12-05,10,Boise State (11-1),9,1,,WAC
15,2010-12-05,11,LSU (10-2),11,,,SEC (West)
15,2010-12-05,12,Virginia Tech (11-2),12,,,ACC (Coastal)
15,2010-12-05,13,Nevada (12-1),14,1,,WAC
15,2010-12-05,14,Missouri (10-2),15,1,,Big 12 (North)
