Wk,Date,Rk,School,Prev,Chng,1st,Conf
16,Final,1,USC,1,,62,Pac-10
16,Final,2,Auburn,3,1,3,SEC (West)
16,Final,3,Oklahoma,2,1,,Big 12 (South)
16,Final,4,Utah,5,1,,MWC
16,Final,5,Texas,6,1,,Big 12 (South)
16,Final,6,Louisville,7,1,,CUSA
16,Final,7,Georgia,8,1,,SEC (East)
16,Final,8,Iowa,11,3,,Big Ten
16,Final,9,California,4,5,,Pac-10
16,Final,10,Virginia Tech,9,1,,ACC
16,Final,11,Miami (FL),14,3,,ACC
16,Final,12,Boise State,10,2,,WAC
16,Final,13,Tennessee,15,2,,SEC (East)
16,Final,14,Michigan,13,1,,Big Ten
16,Final,15,Florida State,17,2,,ACC
16,Final,16,LSU,12,4,,SEC (West)
16,Final,17,Wisconsin,16,1,,Big Ten
16,Final,18,Texas Tech,23,5,,Big 12 (South)
16,Final,19,Arizona State,21,2,,Pac-10
16,Final,20,Ohio State,24,4,,Big Ten
16,Final,21,Boston College,25,4,,Big East
16,Final,22,Fresno State,,,,WAC
16,Final,23,Virginia,18,5,,ACC
16,Final,24,Navy,,,,Ind
16,Final,25,Pitt,19,6,,Big East
15,2004-12-05,1,USC (12-0),1,,44,Pac-10
15,2004-12-05,2,Oklahoma (12-0),2,,14,Big 12 (South)
15,2004-12-05,3,Auburn (12-0),3,,7,SEC (West)
15,2004-12-05,4,California (10-1),4,,,Pac-10
15,2004-12-05,5,Utah (11-0),5,,,MWC
15,2004-12-05,6,Texas (10-1),6,,,Big 12 (South)
15,2004-12-05,7,Louisville (10-1),7,,,CUSA
15,2004-12-05,8,Georgia (9-2),8,,,SEC (East)
15,2004-12-05,9,Virginia Tech (10-2),10,1,,ACC
15,2004-12-05,10,Boise State (11-0),11,1,,WAC
15,2004-12-05,11,Iowa (9-2),12,1,,Big Ten
15,2004-12-05,12,LSU (9-2),13,1,,SEC (West)
15,2004-12-05,13,Michigan (9-2),14,1,,Big Ten
