Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,Florida State (14-0),1,,60,ACC (Atlantic)
17,Final,2,Auburn (12-2),2,,,SEC (West)
17,Final,3,Michigan State (13-1),4,1,,Big Ten (Legends)
17,Final,4,South Carolina (11-2),8,4,,SEC (East)
17,Final,5,Missouri (12-2),9,4,,SEC (East)
17,Final,6,Oklahoma (11-2),11,5,,Big 12
17,Final,7,Alabama (11-2),3,4,,SEC (West)
17,Final,8,Clemson (11-2),12,4,,ACC (Atlantic)
17,Final,9,Oregon (11-2),10,1,,Pac-12 (North)
17,Final,10,UCF (12-1),15,5,,American
17,Final,11,Stanford (11-3),5,6,,Pac-12 (North)
17,Final,12,Ohio State (12-2),7,5,,Big Ten (Leaders)
17,Final,13,Baylor (11-2),6,7,,Big 12
17,Final,14,LSU (10-3),14,,,SEC (West)
17,Final,15,Louisville (12-1),18,3,,American
17,Final,16,UCLA (10-3),17,1,,Pac-12 (South)
17,Final,17,Oklahoma State (10-3),13,4,,Big 12
17,Final,18,Texas A&M (9-4),20,2,,SEC (West)
17,Final,19,USC (10-4),,,,Pac-12 (South)
17,Final,20,Notre Dame (9-4),25,5,,Ind
17,Final,21,Arizona State (10-4),16,5,,Pac-12 (South)
17,Final,22,Wisconsin (9-4),19,3,,Big Ten (Leaders)
17,Final,23,Duke (10-4),22,1,,ACC (Coastal)
17,Final,24,Vanderbilt (9-4),,,,SEC (East)
17,Final,25,Washington (9-4),,,,Pac-12 (North)
16,2013-12-08,1,Florida State (13-0),1,,56,ACC (Atlantic)
16,2013-12-08,2,Auburn (12-1),3,1,4,SEC (West)
16,2013-12-08,3,Alabama (11-1),4,1,,SEC (West)
16,2013-12-08,4,Michigan State (12-1),10,6,,Big Ten (Legends)
16,2013-12-08,5,Stanford (11-2),7,2,,Pac-12 (North)
16,2013-12-08,6,Baylor (11-1),9,3,,Big 12
16,2013-12-08,7,Ohio State (12-1),2,5,,Big Ten (Leaders)
16,2013-12-08,8,South Carolina (10-2),8,,,SEC (East)
16,2013-12-08,9,Missouri (11-2),5,4,,SEC (East)
16,2013-12-08,10,Oregon (10-2),12,2,,Pac-12 (North)
16,2013-12-08,11,Oklahoma (10-2),18,7,,Big 12
16,2013-12-08,12,Clemson (10-2),13,1,,ACC (Atlantic)
16,2013-12-08,13,Oklahoma State (10-2),6,7,,Big 12
16,2013-12-08,14,LSU (9-3),14,,,SEC (West)
16,2013-12-08,15,UCF (11-1),15,,,American
16,2013-12-08,16,Arizona State (10-3),11,5,,Pac-12 (South)
16,2013-12-08,17,UCLA (9-3),17,,,Pac-12 (South)
16,2013-12-08,18,Louisville (11-1),19,1,,American
16,2013-12-08,19,Wisconsin (9-3),21,2,,Big Ten (Leaders)
16,2013-12-08,20,Texas A&M (8-4),22,2,,SEC (West)
16,2013-12-08,21,Fresno State (11-1),24,3,,MWC (West)
16,2013-12-08,22,Duke (10-3),20,2,,ACC (Coastal)
16,2013-12-08,23,Georgia (8-4),25,2,,SEC (East)
16,2013-12-08,24,Northern Illinois (12-1),16,8,,MAC (West)
16,2013-12-08,25,Notre Dame (8-4),,,,Ind
15,2013-12-01,1,Florida State (12-0),2,1,58,ACC (Atlantic)
15,2013-12-01,2,Ohio State (12-0),3,1,,Big Ten (Leaders)
15,2013-12-01,3,Auburn (11-1),4,1,2,SEC (West)
15,2013-12-01,4,Alabama (11-1),1,3,,SEC (West)
15,2013-12-01,5,Missouri (11-1),5,,,SEC (East)
15,2013-12-01,6,Oklahoma State (10-1),7,1,,Big 12
15,2013-12-01,7,Stanford (10-2),8,1,,Pac-12 (North)
15,2013-12-01,8,South Carolina (10-2),10,2,,SEC (East)
15,2013-12-01,9,Baylor (10-1),9,,,Big 12
15,2013-12-01,10,Michigan State (11-1),11,1,,Big Ten (Legends)
15,2013-12-01,11,Arizona State (10-2),13,2,,Pac-12 (South)
15,2013-12-01,12,Oregon (10-2),12,,,Pac-12 (North)
15,2013-12-01,13,Clemson (10-2),6,7,,ACC (Atlantic)
15,2013-12-01,14,LSU (9-3),15,1,,SEC (West)
15,2013-12-01,15,UCF (10-1),17,2,,American
15,2013-12-01,16,Northern Illinois (12-0),18,2,,MAC (West)
15,2013-12-01,17,UCLA (9-3),22,5,,Pac-12 (South)
15,2013-12-01,18,Oklahoma (9-2),20,2,,Big 12
15,2013-12-01,19,Louisville (10-1),21,2,,American
15,2013-12-01,20,Duke (10-2),24,4,,ACC (Coastal)
15,2013-12-01,21,Wisconsin (9-3),14,7,,Big Ten (Leaders)
15,2013-12-01,22,Texas A&M (8-4),19,3,,SEC (West)
15,2013-12-01,23,Texas (8-3),,,,Big 12
15,2013-12-01,24,Fresno State (10-1),16,8,,MWC (West)
15,2013-12-01,25,Georgia (8-4),,,,SEC (East)
14,2013-11-24,1,Alabama (11-0),1,,56,SEC (West)
14,2013-11-24,2,Florida State (11-0),2,,4,ACC (Atlantic)
14,2013-11-24,3,Ohio State (11-0),4,1,,Big Ten (Leaders)
14,2013-11-24,4,Auburn (10-1),6,2,,SEC (West)
14,2013-11-24,5,Missouri (10-1),8,3,,SEC (East)
14,2013-11-24,6,Clemson (10-1),7,1,,ACC (Atlantic)
14,2013-11-24,7,Oklahoma State (10-1),11,4,,Big 12
14,2013-11-24,8,Stanford (9-2),10,2,,Pac-12 (North)
14,2013-11-24,9,Baylor (9-1),3,6,,Big 12
14,2013-11-24,10,South Carolina (9-2),12,2,,SEC (East)
14,2013-11-24,11,Michigan State (10-1),13,2,,Big Ten (Legends)
14,2013-11-24,12,Oregon (9-2),5,7,,Pac-12 (North)
14,2013-11-24,13,Arizona State (9-2),19,6,,Pac-12 (South)
14,2013-11-24,14,Wisconsin (9-2),16,2,,Big Ten (Leaders)
14,2013-11-24,15,LSU (8-3),18,3,,SEC (West)
14,2013-11-24,16,Fresno State (10-0),15,1,,MWC (West)
14,2013-11-24,17,UCF (9-1),17,,,American
14,2013-11-24,18,Northern Illinois (11-0),20,2,,MAC (West)
14,2013-11-24,19,Texas A&M (8-3),9,10,,SEC (West)
14,2013-11-24,20,Oklahoma (9-2),22,2,,Big 12
14,2013-11-24,21,Louisville (10-1),21,,,American
14,2013-11-24,22,UCLA (8-3),14,8,,Pac-12 (South)
14,2013-11-24,23,USC (9-3),23,,,Pac-12 (South)
14,2013-11-24,24,Duke (9-2),25,1,,ACC (Coastal)
14,2013-11-24,25,Notre Dame (8-3),,,,Ind
13,2013-11-17,1,Alabama (10-0),1,,55,SEC (West)
13,2013-11-17,2,Florida State (10-0),2,,5,ACC (Atlantic)
13,2013-11-17,3,Baylor (9-0),4,1,,Big 12
