Wk,Date,Rk,School,Prev,Chng,1st,Conf
16,Final,1,Florida,2,1,64,SEC (East)
16,Final,2,Ohio State,1,1,,Big Ten
16,Final,3,LSU,4,1,,SEC (West)
16,Final,4,USC,8,4,,Pac-10
16,Final,5,Boise State,9,4,1,WAC
16,Final,6,Louisville,5,1,,Big East
16,Final,7,Wisconsin,6,1,,Big Ten
16,Final,8,Michigan,3,5,,Big Ten
16,Final,9,Auburn,10,1,,SEC (West)
16,Final,10,West Virginia,13,3,,Big East
16,Final,11,Oklahoma,7,4,,Big 12 (South)
16,Final,12,Rutgers,16,4,,Big East
16,Final,13,Texas,18,5,,Big 12 (South)
16,Final,14,California,20,6,,Pac-10
16,Final,15,Arkansas,12,3,,SEC (West)
16,Final,16,BYU,19,3,,MWC
16,Final,17,Notre Dame,11,6,,Ind
16,Final,18,Wake Forest,15,3,,ACC (Atlantic)
16,Final,19,Virginia Tech,14,5,,ACC (Coastal)
16,Final,20,Boston College,23,3,,ACC (Atlantic)
16,Final,21,Oregon State,24,3,,Pac-10
16,Final,22,Texas Christian,25,3,,MWC
16,Final,23,Georgia,,,,SEC (East)
16,Final,24,Penn State,,,,Big Ten
16,Final,25,Tennessee,17,8,,SEC (East)
15,2006-12-03,1,Ohio State (12-0),1,,65,Big Ten
15,2006-12-03,2,Florida (12-1),4,2,,SEC (East)
15,2006-12-03,3,Michigan (11-1),3,,,Big Ten
15,2006-12-03,4,LSU (10-2),5,1,,SEC (West)
15,2006-12-03,5,Louisville (11-1),6,1,,Big East
15,2006-12-03,6,Wisconsin (11-1),7,1,,Big Ten
15,2006-12-03,7,Oklahoma (11-2),8,1,,Big 12 (South)
15,2006-12-03,8,USC (10-2),2,6,,Pac-10
15,2006-12-03,9,Boise State (12-0),10,1,,WAC
15,2006-12-03,10,Auburn (10-2),11,1,,SEC (West)
15,2006-12-03,11,Notre Dame (10-2),12,1,,Ind
15,2006-12-03,12,Arkansas (10-3),8,4,,SEC (West)
15,2006-12-03,13,West Virginia (10-2),15,2,,Big East
15,2006-12-03,14,Virginia Tech (10-2),14,,,ACC (Coastal)
15,2006-12-03,15,Wake Forest (11-2),16,1,,ACC (Atlantic)
15,2006-12-03,16,Rutgers (10-2),13,3,,Big East
15,2006-12-03,17,Tennessee (9-3),17,,,SEC (East)
15,2006-12-03,18,Texas (9-3),17,1,,Big 12 (South)
15,2006-12-03,19,BYU (10-2),20,1,,MWC
15,2006-12-03,20,California (9-3),21,1,,Pac-10
15,2006-12-03,21,Texas A&M (9-3),22,1,,Big 12 (South)
15,2006-12-03,22,Nebraska (9-4),19,3,,Big 12 (North)
15,2006-12-03,23,Boston College (9-3),25,2,,ACC (Atlantic)
15,2006-12-03,24,Oregon State (9-4),,,,Pac-10
15,2006-12-03,25,Texas Christian (10-2),,,,MWC
14,2006-11-26,1,Ohio State (12-0),1,,65,Big Ten
14,2006-11-26,2,USC (10-1),3,1,,Pac-10
14,2006-11-26,3,Michigan (11-1),2,1,,Big Ten
14,2006-11-26,4,Florida (11-1),4,,,SEC (East)
14,2006-11-26,5,LSU (10-2),9,4,,SEC (West)
14,2006-11-26,6,Louisville (10-1),8,2,,Big East
14,2006-11-26,7,Wisconsin (11-1),10,3,,Big Ten
