Wk,Date,Rk,School,Prev,Chng,1st,Conf
16,Final,1,Tennessee,1,,70,SEC (East)
16,Final,2,Ohio State,3,1,,Big Ten
16,Final,3,Florida State,2,1,,ACC
16,Final,4,Arizona,5,1,,Pac-10
16,Final,5,Florida,7,2,,SEC (East)
16,Final,6,Wisconsin,9,3,,Big Ten
16,Final,7,Tulane,10,3,,CUSA
16,Final,8,UCLA,6,2,,Pac-10
16,Final,9,Georgia Tech,12,3,,ACC
16,Final,10,Kansas State,4,6,,Big 12 (North)
16,Final,11,Texas A&M,8,3,,Big 12 (South)
16,Final,12,Michigan,15,3,,Big Ten
16,Final,13,Air Force,16,3,,WAC (Mountain)
16,Final,14,Georgia,19,5,,SEC (East)
16,Final,15,Texas,20,5,,Big 12 (South)
16,Final,16,Arkansas,11,5,,SEC (West)
16,Final,17,Penn State,22,5,,Big Ten
16,Final,18,Virginia,13,5,,ACC
16,Final,19,Nebraska,14,5,,Big 12 (North)
16,Final,20,Miami (FL),24,4,,Big East
16,Final,21,Missouri,23,2,,Big 12 (North)
16,Final,22,Notre Dame,17,5,,Ind
16,Final,23,Virginia Tech,,,,Big East
16,Final,24,Purdue,,,,Big Ten
16,Final,25,Syracuse,18,7,,Big East
15,1998-12-07,1,Tennessee (12-0),1,,70,SEC (East)
15,1998-12-07,2,Florida State (11-1),4,2,,ACC
15,1998-12-07,3,Ohio State (10-1),5,2,,Big Ten
15,1998-12-07,4,Kansas State (11-1),2,2,,Big 12 (North)
15,1998-12-07,5,Arizona (11-1),6,1,,Pac-10
15,1998-12-07,6,UCLA (10-1),3,3,,Pac-10
15,1998-12-07,7,Florida (9-2),7,,,SEC (East)
15,1998-12-07,8,Texas A&M (11-2),10,2,,Big 12 (South)
15,1998-12-07,9,Wisconsin (10-1),8,1,,Big Ten
15,1998-12-07,10,Tulane (11-0),9,1,,CUSA
15,1998-12-07,11,Arkansas (9-2),11,,,SEC (West)
15,1998-12-07,12,Georgia Tech (9-2),12,,,ACC
15,1998-12-07,13,Virginia (9-2),14,1,,ACC
15,1998-12-07,14,Nebraska (9-3),13,1,,Big 12 (North)
15,1998-12-07,15,Michigan (9-3),15,,,Big Ten
15,1998-12-07,16,Air Force (11-1),17,1,,WAC (Mountain)
15,1998-12-07,17,Notre Dame (9-2),16,1,,Ind
15,1998-12-07,18,Syracuse (8-3),18,,,Big East
15,1998-12-07,19,Georgia (8-3),19,,,SEC (East)
15,1998-12-07,20,Texas (8-3),20,,,Big 12 (South)
15,1998-12-07,21,Oregon (8-3),21,,,Pac-10
15,1998-12-07,22,Penn State (8-3),22,,,Big Ten
