Wk,Date,Rk,School,Prev,Chng,1st,Conf
16,Final,1,Colorado,1,,39,Big 8
16,Final,2,Georgia Tech,2,,20,ACC
16,Final,3,Miami (FL),4,1,1,Ind
16,Final,4,Florida State,6,2,,Ind
16,Final,5,Washington,8,3,,Pac-10
16,Final,6,Notre Dame,5,1,,Ind
16,Final,7,Michigan,12,5,,Big Ten
16,Final,8,Tennessee,10,2,,SEC
16,Final,9,Clemson,14,5,,ACC
16,Final,10,Houston,9,1,,SWC
16,Final,11,Penn State,7,4,,Ind
16,Final,12,Texas,3,9,,SWC
16,Final,13,Florida,11,2,,SEC
16,Final,14,Louisville,18,4,,Ind
16,Final,15,Texas A&M,,,,SWC
16,Final,16,Michigan State,22,6,,Big Ten
16,Final,17,Oklahoma,20,3,,Big 8
16,Final,18,Iowa,17,1,,Big Ten
16,Final,19,Auburn,,,,SEC
16,Final,20,USC,21,1,,Pac-10
16,Final,21,Ole Miss,15,6,,SEC
16,Final,22,BYU,13,9,,WAC
16,Final,23,Virginia,,,,ACC
16,Final,24,Nebraska,19,5,,Big 8
16,Final,25,Illinois,16,9,,Big Ten
15,1990-12-04,1,Colorado (10-1-1),1,,42,Big 8
15,1990-12-04,2,Georgia Tech (10-0-1),2,,16,ACC
15,1990-12-04,3,Texas (10-1-0),5,2,2,SWC
15,1990-12-04,4,Miami (FL) (9-2-0),3,1,,Ind
15,1990-12-04,5,Notre Dame (9-2-0),7,2,,Ind
15,1990-12-04,6,Florida State (9-2-0),8,2,,Ind
15,1990-12-04,7,Penn State (9-2-0),10,3,,Ind
15,1990-12-04,8,Washington (9-2-0),9,1,,Pac-10
15,1990-12-04,9,Houston (10-1-0),11,2,,SWC
15,1990-12-04,10,Tennessee (8-2-2),12,2,,SEC
15,1990-12-04,11,Florida (9-2-0),6,5,,SEC
15,1990-12-04,12,Michigan (8-3-0),13,1,,Big Ten
15,1990-12-04,13,BYU (10-2-0),4,9,,WAC
15,1990-12-04,14,Clemson (9-2-0),14,,,ACC
15,1990-12-04,15,Ole Miss (9-2-0),15,,,SEC
15,1990-12-04,16,Illinois (8-3-0),16,,,Big Ten
15,1990-12-04,17,Iowa (8-3-0),18,1,,Big Ten
15,1990-12-04,18,Louisville (9-1-1),17,1,,Ind
15,1990-12-04,19,Nebraska (9-2-0),19,,,Big 8
15,1990-12-04,20,Oklahoma (8-3-0),22,2,,Big 8
15,1990-12-04,21,USC (8-3-1),21,,,Pac-10
15,1990-12-04,22,Michigan State (7-3-1),23,1,,Big Ten
15,1990-12-04,23,Southern Mississippi (8-3-0),24,1,,Ind
15,1990-12-04,24,Ohio State (7-3-1),25,1,,Big Ten
15,1990-12-04,25,Alabama (7-4-0),,,,SEC
14,1990-11-27,1,Colorado (10-1-1),1,,41,Big 8
14,1990-11-27,2,Georgia Tech (9-0-1),3,1,10,ACC
14,1990-11-27,3,Miami (FL) (8-2-0),2,1,2,Ind
14,1990-11-27,4,BYU (10-1-0),4,,3,WAC
14,1990-11-27,5,Texas (9-1-0),6,1,3,SWC
14,1990-11-27,6,Florida (9-1-0),5,1,1,SEC
14,1990-11-27,7,Notre Dame (9-2-0),7,,,Ind
14,1990-11-27,8,Florida State (8-2-0),8,,,Ind
14,1990-11-27,9,Washington (9-2-0),9,,,Pac-10
14,1990-11-27,10,Penn State (9-2-0),11,1,,Ind
14,1990-11-27,11,Houston (9-1-0),12,1,,SWC
14,1990-11-27,12,Tennessee (7-2-2),14,2,,SEC
14,1990-11-27,13,Michigan (8-3-0),15,2,,Big Ten
14,1990-11-27,14,Clemson (9-2-0),16,2,,ACC
