Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,USC,1,,48,Pac-10
17,Final,2,LSU,2,,17,SEC (West)
17,Final,3,Oklahoma,3,,,Big 12 (South)
17,Final,4,Ohio State,7,3,,Big Ten
17,Final,5,Miami (FL),10,5,,Big East
17,Final,6,Michigan,4,2,,Big Ten
17,Final,7,Georgia,11,4,,SEC (East)
17,Final,8,Iowa,13,5,,Big Ten
17,Final,9,Washington State,15,6,,Pac-10
17,Final,10,Miami (OH),14,4,,MAC (East)
17,Final,11,Florida State,9,2,,ACC
17,Final,12,Texas,5,7,,Big 12 (South)
17,Final,13,Ole Miss,16,3,,SEC (West)
17,Final,14,Kansas State,8,6,,Big 12 (North)
17,Final,15,Tennessee,6,9,,SEC (East)
17,Final,16,Boise State,18,2,,WAC
17,Final,17,Maryland,23,6,,ACC
17,Final,18,Purdue,12,6,,Big Ten
17,Final,19,Nebraska,22,3,,Big 12 (North)
17,Final,20,Minnesota,24,4,,Big Ten
17,Final,21,Utah,25,4,,MWC
17,Final,22,Clemson,,,,ACC
17,Final,23,Bowling Green State,,,,MAC (West)
17,Final,24,Florida,17,7,,SEC (East)
17,Final,25,Texas Christian,19,6,,CUSA
16,2003-12-07,1,USC (11-1),2,1,42,Pac-10
16,2003-12-07,2,LSU (12-1),3,1,21,SEC (West)
16,2003-12-07,3,Oklahoma (12-1),1,2,2,Big 12 (South)
16,2003-12-07,4,Michigan (10-2),4,,,Big Ten
16,2003-12-07,5,Texas (10-2),6,1,,Big 12 (South)
16,2003-12-07,6,Tennessee (10-2),7,1,,SEC (East)
16,2003-12-07,7,Ohio State (10-2),8,1,,Big Ten
16,2003-12-07,8,Kansas State (11-3),13,5,,Big 12 (North)
16,2003-12-07,9,Florida State (10-2),9,,,ACC
16,2003-12-07,10,Miami (FL) (10-2),10,,,Big East
16,2003-12-07,11,Georgia (10-3),5,6,,SEC (East)
16,2003-12-07,12,Purdue (9-3),11,1,,Big Ten
16,2003-12-07,13,Iowa (9-3),12,1,,Big Ten
16,2003-12-07,14,Miami (OH) (12-1),14,,,MAC (East)
16,2003-12-07,15,Washington State (9-3),15,,,Pac-10
16,2003-12-07,16,Ole Miss (9-3),17,1,,SEC (West)
16,2003-12-07,17,Florida (8-4),16,1,,SEC (East)
16,2003-12-07,18,Boise State (12-1),18,,,WAC
