Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,Florida State,1,,70,ACC
17,Final,2,Virginia Tech,2,,,Big East
17,Final,3,Nebraska,3,,,Big 12 (North)
17,Final,4,Wisconsin,4,,,Big Ten
17,Final,5,Michigan,8,3,,Big Ten
17,Final,6,Kansas State,7,1,,Big 12 (North)
17,Final,7,Michigan State,9,2,,Big Ten
17,Final,8,Alabama,5,3,,SEC (West)
17,Final,9,Tennessee,6,3,,SEC (East)
17,Final,10,Marshall,11,1,,MAC (East)
17,Final,11,Penn State,13,2,,Big Ten
17,Final,12,Florida,10,2,,SEC (East)
17,Final,13,Mississippi State,15,2,,SEC (West)
17,Final,14,Southern Mississippi,16,2,,CUSA
17,Final,15,Miami (FL),23,8,,Big East
17,Final,16,Georgia,21,5,,SEC (East)
17,Final,17,Arkansas,24,7,,SEC (West)
17,Final,18,Minnesota,12,6,,Big Ten
17,Final,19,Oregon,,,,Pac-10
17,Final,20,Georgia Tech,17,3,,ACC
17,Final,21,Texas,14,7,,Big 12 (South)
17,Final,22,Ole Miss,,,,SEC (West)
17,Final,23,Texas A&M,18,5,,Big 12 (South)
17,Final,24,Illinois,,,,Big Ten
17,Final,25,Purdue,19,6,,Big Ten
16,1999-12-05,1,Florida State (11-0),1,,64,ACC
16,1999-12-05,2,Virginia Tech (11-0),2,,6,Big East
16,1999-12-05,3,Nebraska (11-1),3,,,Big 12 (North)
16,1999-12-05,4,Wisconsin (9-2),4,,,Big Ten
16,1999-12-05,5,Alabama (10-2),7,2,,SEC (West)
16,1999-12-05,6,Tennessee (9-2),6,,,SEC (East)
16,1999-12-05,7,Kansas State (10-1),8,1,,Big 12 (North)
16,1999-12-05,8,Michigan (9-2),9,1,,Big Ten
16,1999-12-05,9,Michigan State (9-2),10,1,,Big Ten
16,1999-12-05,10,Florida (9-3),5,5,,SEC (East)
16,1999-12-05,11,Marshall (12-0),11,,,MAC (East)
16,1999-12-05,12,Minnesota (8-3),13,1,,Big Ten
16,1999-12-05,13,Penn State (9-3),14,1,,Big Ten
16,1999-12-05,14,Texas (9-4),12,2,,Big 12 (South)
16,1999-12-05,15,Mississippi State (9-2),16,1,,SEC (West)
16,1999-12-05,16,Southern Mississippi (8-3),15,1,,CUSA
16,1999-12-05,17,Georgia Tech (8-3),17,,,ACC
16,1999-12-05,18,Texas A&M (8-3),18,,,Big 12 (South)
16,1999-12-05,19,Purdue (7-4),19,,,Big Ten
16,1999-12-05,20,East Carolina (9-2),20,,,CUSA
16,1999-12-05,21,Georgia (7-4),21,,,SEC (East)
16,1999-12-05,22,Stanford (8-3),22,,,Pac-10
16,1999-12-05,23,Miami (FL) (8-4),23,,,Big East
16,1999-12-05,24,Arkansas (7-4),24,,,SEC (West)
16,1999-12-05,25,Boston College (8-3),25,,,Big East
15,1999-11-28,1,Florida State (11-0),1,,64,ACC
15,1999-11-28,2,Virginia Tech (11-0),2,,6,Big East
15,1999-11-28,3,Nebraska (10-1),3,,,Big 12 (North)
15,1999-11-28,4,Wisconsin (9-2),4,,,Big Ten
15,1999-11-28,5,Florida (9-2),5,,,SEC (East)
15,1999-11-28,6,Tennessee (9-2),6,,,SEC (East)
15,1999-11-28,7,Alabama (9-2),8,1,,SEC (West)
15,1999-11-28,8,Kansas State (10-1),9,1,,Big 12 (North)
15,1999-11-28,9,Michigan (9-2),10,1,,Big Ten
15,1999-11-28,10,Michigan State (9-2),11,1,,Big Ten
15,1999-11-28,11,Marshall (11-0),12,1,,MAC (East)
15,1999-11-28,12,Texas (9-3),7,5,,Big 12 (South)
15,1999-11-28,13,Minnesota (8-3),13,,,Big Ten
15,1999-11-28,14,Penn State (9-3),15,1,,Big Ten
15,1999-11-28,15,Southern Mississippi (8-3),14,1,,CUSA
15,1999-11-28,16,Mississippi State (9-2),18,2,,SEC (West)
15,1999-11-28,17,Georgia Tech (8-3),20,3,,ACC
15,1999-11-28,18,Texas A&M (8-3),24,6,,Big 12 (South)
15,1999-11-28,19,Purdue (7-4),19,,,Big Ten
15,1999-11-28,20,East Carolina (9-2),21,1,,CUSA
15,1999-11-28,21,Georgia (7-4),16,5,,SEC (East)
15,1999-11-28,22,Stanford (8-3),,,,Pac-10
15,1999-11-28,23,Miami (FL) (7-4),,,,Big East
15,1999-11-28,24,Arkansas (7-4),17,7,,SEC (West)
15,1999-11-28,25,Boston College (8-3),22,3,,Big East
14,1999-11-21,1,Florida State (11-0),1,,66,ACC
14,1999-11-21,2,Virginia Tech (10-0),2,,4,Big East
14,1999-11-21,3,Nebraska (9-1),4,1,,Big 12 (North)
14,1999-11-21,4,Wisconsin (9-2),5,1,,Big Ten
14,1999-11-21,5,Florida (9-2),3,2,,SEC (East)
14,1999-11-21,6,Tennessee (8-2),7,1,,SEC (East)
14,1999-11-21,7,Texas (9-2),6,1,,Big 12 (South)
14,1999-11-21,8,Alabama (9-2),8,,,SEC (West)
14,1999-11-21,9,Kansas State (10-1),9,,,Big 12 (North)
14,1999-11-21,10,Michigan (9-2),10,,,Big Ten
14,1999-11-21,11,Michigan State (9-2),15,4,,Big Ten
14,1999-11-21,12,Marshall (10-0),11,1,,MAC (East)
14,1999-11-21,13,Minnesota (8-3),17,4,,Big Ten
14,1999-11-21,14,Southern Mississippi (8-3),18,4,,CUSA
14,1999-11-21,15,Penn State (9-3),13,2,,Big Ten
14,1999-11-21,16,Georgia (7-3),21,5,,SEC (East)
14,1999-11-21,17,Arkansas (7-3),22,5,,SEC (West)
14,1999-11-21,18,Mississippi State (8-2),12,6,,SEC (West)
14,1999-11-21,19,Purdue (7-4),19,,,Big Ten
14,1999-11-21,20,Georgia Tech (7-3),14,6,,ACC
14,1999-11-21,21,East Carolina (9-2),23,2,,CUSA
14,1999-11-21,22,Boston College (8-2),25,3,,Big East
14,1999-11-21,23,Ole Miss (7-3),16,7,,SEC (West)
14,1999-11-21,24,Texas A&M (7-3),24,,,Big 12 (South)
14,1999-11-21,25,Louisiana Tech (8-2),,,,Ind
13,1999-11-14,1,Florida State (10-0),1,,63,ACC
13,1999-11-14,2,Virginia Tech (9-0),2,,6,Big East
13,1999-11-14,3,Florida (9-1),4,1,,SEC (East)
13,1999-11-14,4,Nebraska (9-1),7,3,,Big 12 (North)
13,1999-11-14,5,Wisconsin (9-2),9,4,,Big Ten
13,1999-11-14,6,Texas (9-2),10,4,,Big 12 (South)
13,1999-11-14,7,Tennessee (7-2),3,4,,SEC (East)
13,1999-11-14,8,Alabama (8-2),11,3,,SEC (West)
13,1999-11-14,9,Kansas State (9-1),5,4,,Big 12 (North)
13,1999-11-14,10,Michigan (8-2),16,6,,Big Ten
13,1999-11-14,11,Marshall (10-0),12,1,,MAC (East)
13,1999-11-14,12,Mississippi State (8-1),8,4,,SEC (West)
13,1999-11-14,13,Penn State (9-2),6,7,,Big Ten
13,1999-11-14,14,Georgia Tech (7-2),13,1,,ACC
13,1999-11-14,15,Michigan State (8-2),17,2,,Big Ten
13,1999-11-14,16,Ole Miss (7-2),18,2,,SEC (West)
13,1999-11-14,17,Minnesota (7-3),20,3,,Big Ten
13,1999-11-14,18,Southern Mississippi (7-3),21,3,,CUSA
13,1999-11-14,19,BYU (8-2),15,4,,MWC
13,1999-11-14,19,Purdue (6-4),22,3,,Big Ten
13,1999-11-14,21,Georgia (6-3),14,7,,SEC (East)
13,1999-11-14,22,Arkansas (6-3),,,,SEC (West)
13,1999-11-14,23,East Carolina (8-2),24,1,,CUSA
13,1999-11-14,24,Texas A&M (7-3),,,,Big 12 (South)
13,1999-11-14,25,Boston College (7-2),,,,Big East
12,1999-11-07,1,Florida State (9-0),1,,66,ACC
12,1999-11-07,2,Virginia Tech (8-0),3,1,4,Big East
12,1999-11-07,3,Tennessee (7-1),4,1,,SEC (East)
12,1999-11-07,4,Florida (8-1),5,1,,SEC (East)
12,1999-11-07,5,Kansas State (9-0),6,1,,Big 12 (North)
12,1999-11-07,6,Penn State (9-1),2,4,,Big Ten
12,1999-11-07,7,Nebraska (8-1),9,2,,Big 12 (North)
12,1999-11-07,8,Mississippi State (8-0),8,,,SEC (West)
12,1999-11-07,9,Wisconsin (8-2),10,1,,Big Ten
12,1999-11-07,10,Texas (8-2),11,1,,Big 12 (South)
12,1999-11-07,11,Alabama (7-2),12,1,,SEC (West)
12,1999-11-07,12,Marshall (9-0),13,1,,MAC (East)
12,1999-11-07,13,Georgia Tech (6-2),7,6,,ACC
12,1999-11-07,14,Georgia (6-2),14,,,SEC (East)
12,1999-11-07,15,BYU (8-1),15,,,MWC
12,1999-11-07,16,Michigan (7-2),16,,,Big Ten
12,1999-11-07,17,Michigan State (7-2),19,2,,Big Ten
12,1999-11-07,18,Ole Miss (7-2),23,5,,SEC (West)
12,1999-11-07,19,Miami (FL) (5-3),22,3,,Big East
12,1999-11-07,20,Minnesota (6-3),,,,Big Ten
12,1999-11-07,21,Southern Mississippi (6-3),25,4,,CUSA
12,1999-11-07,22,Purdue (6-4),17,5,,Big Ten
12,1999-11-07,23,Washington (6-3),,,,Pac-10
12,1999-11-07,24,East Carolina (7-2),18,6,,CUSA
12,1999-11-07,25,Ohio State (6-4),20,5,,Big Ten
11,1999-10-31,1,Florida State (9-0),1,,55,ACC
11,1999-10-31,2,Penn State (9-0),2,,9,Big Ten
11,1999-10-31,3,Virginia Tech (7-0),3,,6,Big East
11,1999-10-31,4,Tennessee (6-1),4,,,SEC (East)
11,1999-10-31,5,Florida (7-1),5,,,SEC (East)
11,1999-10-31,6,Kansas State (8-0),6,,,Big 12 (North)
11,1999-10-31,7,Georgia Tech (6-1),7,,,ACC
11,1999-10-31,8,Mississippi State (7-0),8,,,SEC (West)
11,1999-10-31,9,Nebraska (7-1),8,1,,Big 12 (North)
11,1999-10-31,10,Wisconsin (7-2),11,1,,Big Ten
11,1999-10-31,11,Texas (7-2),12,1,,Big 12 (South)
11,1999-10-31,12,Alabama (6-2),14,2,,SEC (West)
11,1999-10-31,13,Marshall (8-0),13,,,MAC (East)
11,1999-10-31,14,Georgia (6-2),10,4,,SEC (East)
11,1999-10-31,15,BYU (7-1),16,1,,MWC
11,1999-10-31,16,Michigan (6-2),15,1,,Big Ten
11,1999-10-31,17,Purdue (6-3),18,1,,Big Ten
11,1999-10-31,18,East Carolina (7-1),17,1,,CUSA
11,1999-10-31,19,Michigan State (6-2),19,,,Big Ten
11,1999-10-31,20,Ohio State (6-3),21,1,,Big Ten
11,1999-10-31,21,Texas A&M (6-2),22,1,,Big 12 (South)
11,1999-10-31,22,Miami (FL) (4-3),23,1,,Big East
11,1999-10-31,23,Ole Miss (6-2),25,2,,SEC (West)
11,1999-10-31,24,Notre Dame (5-3),,,,Ind
11,1999-10-31,25,Southern Mississippi (5-3),20,5,,CUSA
10,1999-10-24,1,Florida State (8-0),1,,55,ACC
10,1999-10-24,2,Penn State (8-0),2,,10,Big Ten
10,1999-10-24,3,Virginia Tech (6-0),4,1,5,Big East
10,1999-10-24,4,Tennessee (5-1),5,1,,SEC (East)
10,1999-10-24,5,Florida (6-1),6,1,,SEC (East)
10,1999-10-24,6,Kansas State (7-0),7,1,,Big 12 (North)
10,1999-10-24,7,Georgia Tech (5-1),8,1,,ACC
10,1999-10-24,8,Mississippi State (7-0),12,4,,SEC (West)
10,1999-10-24,8,Nebraska (6-1),3,5,,Big 12 (North)
10,1999-10-24,10,Georgia (6-1),14,4,,SEC (East)
10,1999-10-24,11,Wisconsin (6-2),17,6,,Big Ten
10,1999-10-24,12,Texas (6-2),18,6,,Big 12 (South)
10,1999-10-24,13,Marshall (7-0),15,2,,MAC (East)
