Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,Miami (FL),1,,72,Big East
17,Final,2,Oregon,2,,,Pac-10
17,Final,3,Florida,5,2,,SEC (East)
17,Final,4,Tennessee,8,4,,SEC (East)
17,Final,5,Texas,9,4,,Big 12 (South)
17,Final,6,Oklahoma,10,4,,Big 12 (South)
17,Final,7,LSU,12,5,,SEC (West)
17,Final,8,Nebraska,4,4,,Big 12 (North)
17,Final,9,Colorado,3,6,,Big 12 (North)
17,Final,10,Washington State,13,3,,Pac-10
17,Final,11,Maryland,6,5,,ACC
17,Final,12,Illinois,7,5,,Big Ten
17,Final,13,South Carolina,14,1,,SEC (East)
17,Final,14,Syracuse,18,4,,Big East
17,Final,15,Florida State,24,9,,ACC
17,Final,16,Stanford,11,5,,Pac-10
17,Final,17,Louisville,23,6,,CUSA
17,Final,18,Virginia Tech,15,3,,Big East
17,Final,19,Washington,21,2,,Pac-10
17,Final,20,Michigan,17,3,,Big Ten
17,Final,21,Boston College,,,,Big East
17,Final,22,Georgia,16,6,,SEC (East)
17,Final,23,Toledo,25,2,,MAC (West)
17,Final,24,Georgia Tech,,,,ACC
17,Final,25,BYU,19,6,,MWC
16,2001-12-09,1,Miami (FL) (11-0),1,,72,Big East
16,2001-12-09,2,Oregon (10-1),3,1,,Pac-10
16,2001-12-09,3,Colorado (10-2),4,1,,Big 12 (North)
16,2001-12-09,4,Nebraska (11-1),5,1,,Big 12 (North)
16,2001-12-09,5,Florida (9-2),6,1,,SEC (East)
16,2001-12-09,6,Maryland (10-1),7,1,,ACC
16,2001-12-09,7,Illinois (10-1),8,1,,Big Ten
16,2001-12-09,8,Tennessee (10-2),2,6,,SEC (East)
16,2001-12-09,9,Texas (10-2),10,1,,Big 12 (South)
16,2001-12-09,10,Oklahoma (10-2),11,1,,Big 12 (South)
16,2001-12-09,11,Stanford (9-2),12,1,,Pac-10
16,2001-12-09,12,LSU (9-3),21,9,,SEC (West)
16,2001-12-09,13,Washington State (9-2),13,,,Pac-10
16,2001-12-09,14,South Carolina (8-3),14,,,SEC (East)
16,2001-12-09,15,Virginia Tech (8-3),15,,,Big East
16,2001-12-09,16,Georgia (8-3),16,,,SEC (East)
16,2001-12-09,17,Michigan (8-3),17,,,Big Ten
16,2001-12-09,18,Syracuse (9-3),18,,,Big East
16,2001-12-09,19,BYU (12-1),9,10,,MWC
16,2001-12-09,20,Fresno State (11-2),19,1,,WAC
16,2001-12-09,21,Washington (8-3),20,1,,Pac-10
16,2001-12-09,22,Ohio State (7-4),22,,,Big Ten
16,2001-12-09,23,Louisville (10-2),23,,,CUSA
16,2001-12-09,24,Florida State (7-4),24,,,ACC
16,2001-12-09,25,Toledo (9-2),25,,,MAC (West)
15,2001-12-02,1,Miami (FL) (11-0),1,,72,Big East
15,2001-12-02,2,Tennessee (10-1),5,3,,SEC (East)
15,2001-12-02,3,Oregon (10-1),4,1,,Pac-10
15,2001-12-02,4,Colorado (10-2),9,5,,Big 12 (North)
15,2001-12-02,5,Nebraska (11-1),6,1,,Big 12 (North)
15,2001-12-02,6,Florida (9-2),2,4,,SEC (East)
15,2001-12-02,7,Maryland (10-1),7,,,ACC
15,2001-12-02,8,Illinois (10-1),8,,,Big Ten
15,2001-12-02,9,BYU (12-0),10,1,,MWC
15,2001-12-02,10,Texas (10-2),3,7,,Big 12 (South)
15,2001-12-02,11,Oklahoma (10-2),11,,,Big 12 (South)
15,2001-12-02,12,Stanford (9-2),12,,,Pac-10
15,2001-12-02,13,Washington State (9-2),13,,,Pac-10
15,2001-12-02,14,South Carolina (8-3),15,1,,SEC (East)
15,2001-12-02,15,Virginia Tech (8-3),14,1,,Big East
15,2001-12-02,16,Georgia (8-3),16,,,SEC (East)
15,2001-12-02,17,Michigan (8-3),17,,,Big Ten
15,2001-12-02,18,Syracuse (9-3),18,,,Big East
15,2001-12-02,19,Fresno State (11-2),21,2,,WAC
15,2001-12-02,20,Washington (8-3),19,1,,Pac-10
15,2001-12-02,21,LSU (8-3),22,1,,SEC (West)
15,2001-12-02,22,Ohio State (7-4),23,1,,Big Ten
15,2001-12-02,23,Louisville (10-2),24,1,,CUSA
15,2001-12-02,24,Florida State (7-4),,,,ACC
15,2001-12-02,25,Toledo (9-2),,,,MAC (West)
14,2001-11-25,1,Miami (FL) (10-0),1,,71,Big East
14,2001-11-25,2,Florida (9-1),3,1,1,SEC (East)
14,2001-11-25,3,Texas (10-1),5,2,,Big 12 (South)
14,2001-11-25,4,Oregon (9-1),6,2,,Pac-10
14,2001-11-25,5,Tennessee (9-1),7,2,,SEC (East)
14,2001-11-25,6,Nebraska (11-1),2,4,,Big 12 (North)
14,2001-11-25,7,Maryland (10-1),8,1,,ACC
14,2001-11-25,8,Illinois (10-1),10,2,,Big Ten
14,2001-11-25,9,Colorado (9-2),14,5,,Big 12 (North)
14,2001-11-25,10,BYU (11-0),9,1,,MWC
14,2001-11-25,11,Oklahoma (10-2),4,7,,Big 12 (South)
14,2001-11-25,12,Stanford (8-2),13,1,,Pac-10
14,2001-11-25,13,Washington State (9-2),15,2,,Pac-10
14,2001-11-25,14,Virginia Tech (8-2),16,2,,Big East
14,2001-11-25,15,South Carolina (8-3),18,3,,SEC (East)
14,2001-11-25,16,Georgia (7-3),19,3,,SEC (East)
