Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,Alabama (13-0),1,,61,SEC (West)
17,Final,2,Ohio State (7-1),3,1,,Big Ten (East)
17,Final,3,Clemson (10-2),2,1,,ACC (Atlantic)
17,Final,4,Texas A&M (9-1),5,1,,SEC (West)
17,Final,5,Notre Dame (10-2),4,1,,ACC (Atlantic)
17,Final,6,Oklahoma (9-2),8,2,,Big 12
17,Final,7,Georgia (8-2),11,4,,SEC (East)
17,Final,8,Cincinnati (9-1),6,2,,American (East)
17,Final,9,Iowa State (9-3),12,3,,Big 12
17,Final,10,Northwestern (7-2),15,5,,Big Ten (West)
17,Final,11,BYU (11-1),13,2,,Ind
17,Final,12,Indiana (6-2),7,5,,Big Ten (East)
17,Final,13,Florida (8-4),10,3,,SEC (East)
17,Final,14,Coastal Carolina (11-1),9,5,,Sun Belt (East)
17,Final,15,Louisiana (10-1),16,1,,Sun Belt (West)
17,Final,16,Iowa (6-2),17,1,,Big Ten (West)
17,Final,17,Liberty (10-1),23,6,,Ind
17,Final,18,North Carolina (8-4),14,4,,ACC (Coastal)
17,Final,19,Texas (7-3),20,1,,Big 12
17,Final,20,Oklahoma State (8-3),,,,Big 12
17,Final,21,USC (5-1),21,,,Pac-12 (South)
17,Final,22,Miami (FL) (8-3),18,4,,ACC (Coastal)
17,Final,23,Ball State (7-1),,,,MAC (West)
17,Final,24,San Jose State (7-1),19,5,,MWC (West)
17,Final,25,Buffalo (6-1),,,,MAC (East)
16,2020-12-20,1,Alabama (11-0),1,,62,SEC (West)
16,2020-12-20,2,Clemson (10-1),4,2,,ACC (Atlantic)
16,2020-12-20,3,Ohio State (6-0),3,,,Big Ten (East)
16,2020-12-20,4,Notre Dame (10-1),2,2,,ACC (Atlantic)
16,2020-12-20,5,Texas A&M (8-1),5,,,SEC (West)
16,2020-12-20,6,Cincinnati (9-0),6,,,American (East)
16,2020-12-20,7,Indiana (6-1),7,,,Big Ten (East)
16,2020-12-20,8,Oklahoma (8-2),12,4,,Big 12
16,2020-12-20,9,Coastal Carolina (11-0),9,,,Sun Belt (East)
16,2020-12-20,10,Florida (8-3),11,1,,SEC (East)
16,2020-12-20,11,Georgia (7-2),10,1,,SEC (East)
16,2020-12-20,12,Iowa State (8-3),8,4,,Big 12
16,2020-12-20,13,BYU (10-1),14,1,,Ind
16,2020-12-20,14,North Carolina (8-3),16,2,,ACC (Coastal)
16,2020-12-20,15,Northwestern (6-2),15,,,Big Ten (West)
16,2020-12-20,16,Louisiana (9-1),17,1,,Sun Belt (West)
16,2020-12-20,17,Iowa (6-2),18,1,,Big Ten (West)
16,2020-12-20,18,Miami (FL) (8-2),19,1,,ACC (Coastal)
16,2020-12-20,19,San Jose State (7-0),25,6,,MWC (West)
16,2020-12-20,20,Texas (6-3),21,1,,Big 12
16,2020-12-20,21,USC (5-1),13,8,,Pac-12 (South)
16,2020-12-20,22,Tulsa (6-2),20,2,,American (West)
16,2020-12-20,23,Liberty (9-1),22,1,,Ind
16,2020-12-20,24,North Carolina State (8-3),24,,,ACC (Atlantic)
16,2020-12-20,25,Oregon (4-2),,,,Pac-12 (North)
15,2020-12-13,1,Alabama (10-0),1,,62,SEC (West)
15,2020-12-13,2,Notre Dame (10-0),2,,,ACC (Atlantic)
15,2020-12-13,3,Ohio State (5-0),3,,,Big Ten (East)
15,2020-12-13,4,Clemson (9-1),4,,,ACC (Atlantic)
15,2020-12-13,5,Texas A&M (7-1),5,,,SEC (West)
15,2020-12-13,6,Cincinnati (8-0),7,1,,American (East)
15,2020-12-13,7,Indiana (6-1),8,1,,Big Ten (East)
15,2020-12-13,8,Iowa State (8-2),10,2,,Big 12
15,2020-12-13,9,Coastal Carolina (11-0),11,2,,Sun Belt (East)
15,2020-12-13,10,Georgia (7-2),12,2,,SEC (East)
