Wk,Date,Rk,School,Prev,Chng,1st,Conf
16,Final,1,Miami (FL),1,,32,Big East
16,Final,2,Washington,2,,28,Pac-10
16,Final,3,Penn State,6,3,,Ind
16,Final,4,Florida State,5,1,,Ind
16,Final,5,Alabama,8,3,,SEC
16,Final,6,Michigan,4,2,,Big Ten
16,Final,7,Florida,3,4,,SEC
16,Final,8,California,14,6,,Pac-10
16,Final,9,East Carolina,12,3,,Ind
16,Final,10,Iowa,7,3,,Big Ten
16,Final,11,Syracuse,16,5,,Big East
16,Final,12,Texas A&M,9,3,,SWC
16,Final,13,Notre Dame,18,5,,Ind
16,Final,14,Tennessee,10,4,,SEC
16,Final,15,Nebraska,11,4,,Big 8
16,Final,16,Oklahoma,20,4,,Big 8
16,Final,17,Georgia,24,7,,SEC
16,Final,18,Clemson,13,5,,ACC
16,Final,19,UCLA,22,3,,Pac-10
16,Final,20,Colorado,15,5,,Big 8
16,Final,21,Tulsa,23,2,,Ind
16,Final,22,Stanford,17,5,,Pac-10
16,Final,23,BYU,,,,WAC
16,Final,24,North Carolina State,21,3,,ACC
16,Final,25,Air Force,,,,WAC
15,1991-12-02,1,Miami (FL) (11-0-0),1,,37,Big East
15,1991-12-02,2,Washington (11-0-0),2,,23,Pac-10
15,1991-12-02,3,Florida (10-1-0),5,2,,SEC
15,1991-12-02,4,Michigan (10-1-0),4,,,Big Ten
15,1991-12-02,5,Florida State (10-2-0),3,2,,Ind
15,1991-12-02,6,Penn State (10-2-0),6,,,Ind
15,1991-12-02,7,Iowa (10-1-0),7,,,Big Ten
15,1991-12-02,8,Alabama (10-1-0),8,,,SEC
15,1991-12-02,9,Texas A&M (10-1-0),10,1,,SWC
15,1991-12-02,10,Tennessee (9-2-0),9,1,,SEC
15,1991-12-02,11,Nebraska (9-1-1),11,,,Big 8
15,1991-12-02,12,East Carolina (10-1-0),12,,,Ind
15,1991-12-02,13,Clemson (9-1-1),13,,,ACC
15,1991-12-02,14,California (9-2-0),14,,,Pac-10
15,1991-12-02,15,Colorado (8-2-1),15,,,Big 8
15,1991-12-02,16,Syracuse (9-2-0),16,,,Big East
15,1991-12-02,17,Stanford (8-3-0),17,,,Pac-10
15,1991-12-02,18,Notre Dame (9-3-0),18,,,Ind
15,1991-12-02,19,Virginia (8-2-1),20,1,,ACC
15,1991-12-02,20,Oklahoma (8-3-0),19,1,,Big 8
15,1991-12-02,21,North Carolina State (9-2-0),21,,,ACC
15,1991-12-02,22,UCLA (8-3-0),23,1,,Pac-10
15,1991-12-02,23,Tulsa (9-2-0),22,1,,Ind
15,1991-12-02,24,Georgia (8-3-0),25,1,,SEC
15,1991-12-02,25,Ohio State (8-3-0),24,1,,Big Ten
14,1991-11-25,1,Miami (FL) (10-0-0),1,,37,Big East
14,1991-11-25,2,Washington (11-0-0),2,,22,Pac-10
14,1991-11-25,3,Florida State (10-1-0),3,,,Ind
14,1991-11-25,4,Michigan (10-1-0),4,,,Big Ten
14,1991-11-25,5,Florida (9-1-0),5,,,SEC
14,1991-11-25,6,Penn State (9-2-0),7,1,,Ind
14,1991-11-25,7,Iowa (10-1-0),9,2,,Big Ten
14,1991-11-25,8,Alabama (9-1-0),8,,,SEC
14,1991-11-25,9,Tennessee (8-2-0),10,1,,SEC
14,1991-11-25,10,Texas A&M (9-1-0),12,2,,SWC
14,1991-11-25,11,Nebraska (8-1-1),11,,,Big 8
14,1991-11-25,12,East Carolina (10-1-0),13,1,,Ind
14,1991-11-25,13,Clemson (8-1-1),14,1,,ACC
14,1991-11-25,14,California (9-2-0),6,8,,Pac-10
14,1991-11-25,15,Colorado (8-2-1),15,,,Big 8
14,1991-11-25,16,Syracuse (9-2-0),16,,,Big East
14,1991-11-25,17,Stanford (8-3-0),21,4,,Pac-10
14,1991-11-25,18,Notre Dame (8-3-0),17,1,,Ind
14,1991-11-25,19,Oklahoma (8-2-0),19,,,Big 8
14,1991-11-25,20,Virginia (8-2-1),20,,,ACC
14,1991-11-25,21,North Carolina State (9-2-0),22,1,,ACC
14,1991-11-25,22,Tulsa (8-2-0),23,1,,Ind
14,1991-11-25,23,UCLA (8-3-0),25,2,,Pac-10
14,1991-11-25,24,Ohio State (8-3-0),18,6,,Big Ten
14,1991-11-25,25,Georgia (7-3-0),24,1,,SEC
13,1991-11-18,1,Miami (FL) (9-0-0),2,1,46,Big East
13,1991-11-18,2,Washington (10-0-0),3,1,14,Pac-10
13,1991-11-18,3,Florida State (10-1-0),1,2,,Ind
13,1991-11-18,4,Michigan (9-1-0),4,,,Big Ten
13,1991-11-18,5,Florida (9-1-0),5,,,SEC
13,1991-11-18,6,California (9-1-0),6,,,Pac-10
13,1991-11-18,7,Penn State (9-2-0),8,1,,Ind
13,1991-11-18,8,Alabama (9-1-0),7,1,,SEC
