Wk,Date,Rk,School,Prev,Chng,1st,Conf
16,Final,1,Clemson (14-1),3,2,60,ACC (Atlantic)
16,Final,2,Alabama (14-1),1,1,,SEC (West)
16,Final,3,USC (10-3),9,6,,Pac-12 (South)
16,Final,4,Washington (12-2),4,,,Pac-12 (North)
16,Final,5,Oklahoma (11-2),7,2,,Big 12
16,Final,6,Ohio State (11-2),2,4,,Big Ten (East)
16,Final,7,Penn State (11-3),5,2,,Big Ten (East)
16,Final,8,Florida State (10-3),10,2,,ACC (Atlantic)
16,Final,9,Wisconsin (11-3),8,1,,Big Ten (West)
16,Final,10,Michigan (10-3),6,4,,Big Ten (East)
16,Final,11,Oklahoma State (10-3),13,2,,Big 12
16,Final,12,Stanford (10-3),16,4,,Pac-12 (North)
16,Final,13,LSU (8-4),19,6,,SEC (West)
16,Final,14,Florida (9-4),20,6,,SEC (East)
16,Final,15,Western Michigan (13-1),12,3,,MAC (West)
16,Final,16,Virginia Tech (10-4),18,2,,ACC (Coastal)
16,Final,17,Colorado (10-4),11,6,,Pac-12 (South)
16,Final,18,West Virginia (10-3),14,4,,Big 12
16,Final,19,South Florida (11-2),25,6,,American (East)
16,Final,20,Miami (FL) (9-4),,,,ACC (Coastal)
16,Final,21,Louisville (9-4),15,6,,ACC (Atlantic)
16,Final,22,Tennessee (9-4),,,,SEC (East)
16,Final,23,Utah (9-4),,,,Pac-12 (South)
16,Final,24,Auburn (8-5),17,7,,SEC (West)
16,Final,25,San Diego State (11-3),,,,MWC (West)
15,2016-12-04,1,Alabama (13-0),1,,61,SEC (West)
15,2016-12-04,2,Ohio State (11-1),2,,,Big Ten (East)
15,2016-12-04,3,Clemson (12-1),3,,,ACC (Atlantic)
15,2016-12-04,4,Washington (12-1),4,,,Pac-12 (North)
15,2016-12-04,5,Penn State (11-2),8,3,,Big Ten (East)
15,2016-12-04,6,Michigan (10-2),5,1,,Big Ten (East)
15,2016-12-04,7,Oklahoma (10-2),7,,,Big 12
15,2016-12-04,8,Wisconsin (10-3),6,2,,Big Ten (West)
15,2016-12-04,9,USC (9-3),10,1,,Pac-12 (South)
15,2016-12-04,10,Florida State (9-3),12,2,,ACC (Atlantic)
15,2016-12-04,11,Colorado (10-3),9,2,,Pac-12 (South)
15,2016-12-04,12,Western Michigan (13-0),13,1,,MAC (West)
15,2016-12-04,13,Oklahoma State (9-3),11,2,,Big 12
15,2016-12-04,14,West Virginia (10-2),14,,,Big 12
15,2016-12-04,15,Louisville (9-3),16,1,,ACC (Atlantic)
15,2016-12-04,16,Stanford (9-3),17,1,,Pac-12 (North)
15,2016-12-04,17,Auburn (8-4),18,1,,SEC (West)
15,2016-12-04,18,Virginia Tech (9-4),19,1,,ACC (Coastal)
15,2016-12-04,19,LSU (7-4),21,2,,SEC (West)
15,2016-12-04,20,Florida (8-4),15,5,,SEC (East)
15,2016-12-04,21,Iowa (8-4),22,1,,Big Ten (West)
