Wk,Date,Rk,School,Prev,Chng,1st,Conf
18,Final,1,Florida,3,2,65,SEC (East)
18,Final,2,Ohio State,4,2,1,Big Ten
18,Final,3,Florida State,1,2,,ACC
18,Final,4,Arizona State,2,2,,Pac-10
18,Final,5,BYU,5,,,WAC (Mountain)
18,Final,6,Nebraska,6,,,Big 12 (North)
18,Final,7,Penn State,7,,,Big Ten
18,Final,8,Colorado,8,,,Big 12 (North)
18,Final,9,Tennessee,9,,,SEC (East)
18,Final,10,North Carolina,12,2,,ACC
18,Final,11,Alabama,16,5,,SEC (West)
18,Final,12,LSU,17,5,,SEC (West)
18,Final,13,Virginia Tech,10,3,,Big East
18,Final,14,Miami (FL),19,5,,Big East
18,Final,15,Northwestern,11,4,,Big Ten
18,Final,16,Washington,13,3,,Pac-10
18,Final,17,Kansas State,14,3,,Big 12 (North)
18,Final,18,Iowa,21,3,,Big Ten
18,Final,19,Notre Dame,18,1,,Ind
18,Final,20,Michigan,15,5,,Big Ten
18,Final,21,Syracuse,23,2,,Big East
18,Final,22,Wyoming,22,,,WAC (Pacific)
18,Final,23,Texas,20,3,,Big 12 (South)
18,Final,24,Auburn,,,,SEC (West)
18,Final,25,Army,24,1,,Ind
17,1996-12-09,1,Florida State (11-0),1,,62,ACC
17,1996-12-09,2,Arizona State (11-0),2,,5,Pac-10
17,1996-12-09,3,Florida (11-1),4,1,,SEC (East)
17,1996-12-09,4,Ohio State (10-1),5,1,,Big Ten
17,1996-12-09,5,BYU (13-1),6,1,,WAC (Mountain)
17,1996-12-09,6,Nebraska (10-2),3,3,,Big 12 (North)
17,1996-12-09,7,Penn State (10-2),8,1,,Big Ten
17,1996-12-09,8,Colorado (9-2),7,1,,Big 12 (North)
17,1996-12-09,9,Tennessee (9-2),9,,,SEC (East)
17,1996-12-09,10,Virginia Tech (10-1),15,5,,Big East
17,1996-12-09,11,Northwestern (9-2),10,1,,Big Ten
17,1996-12-09,12,North Carolina (9-2),13,1,,ACC
17,1996-12-09,13,Washington (9-2),12,1,,Pac-10
17,1996-12-09,14,Kansas State (9-2),14,,,Big 12 (North)
17,1996-12-09,15,Michigan (8-3),16,1,,Big Ten
17,1996-12-09,16,Alabama (9-3),11,5,,SEC (West)
17,1996-12-09,17,LSU (9-2),17,,,SEC (West)
17,1996-12-09,18,Notre Dame (8-3),18,,,Ind
17,1996-12-09,19,Miami (FL) (8-3),19,,,Big East
17,1996-12-09,20,Texas (8-4),,,,Big 12 (South)
