Wk,Date,Rk,School,Prev,Chng,1st,Conf
18,Final,1,Ohio State,2,1,71,Big Ten
18,Final,2,Miami (FL),1,1,,Big East
18,Final,3,Georgia,4,1,,SEC (East)
18,Final,4,USC,5,1,,Pac-10
18,Final,5,Oklahoma,8,3,,Big 12 (South)
18,Final,6,Texas,9,3,,Big 12 (South)
18,Final,7,Kansas State,6,1,,Big 12 (North)
18,Final,8,Iowa,3,5,,Big Ten
18,Final,9,Michigan,12,3,,Big Ten
18,Final,10,Washington State,7,3,,Pac-10
18,Final,11,Alabama,13,2,,SEC (West)
18,Final,12,North Carolina State,17,5,,ACC
18,Final,13,Maryland,20,7,,ACC
18,Final,14,Auburn,19,5,,SEC (West)
18,Final,15,Boise State,18,3,,WAC
18,Final,16,Penn State,10,6,,Big Ten
18,Final,17,Notre Dame,11,6,,Ind
18,Final,18,Virginia Tech,21,3,,Big East
18,Final,19,Pitt,24,5,,Big East
18,Final,20,Colorado,14,6,,Big 12 (North)
18,Final,21,Florida State,16,5,,ACC
18,Final,22,Virginia,,,,ACC
18,Final,23,Texas Christian,,,,CUSA
18,Final,24,Marshall,,,,MAC (East)
18,Final,25,West Virginia,15,10,,Big East
17,2002-12-08,1,Miami (FL) (12-0),1,,74,Big East
17,2002-12-08,2,Ohio State (13-0),2,,,Big Ten
17,2002-12-08,3,Iowa (11-1),3,,,Big Ten
17,2002-12-08,4,Georgia (12-1),4,,,SEC (East)
17,2002-12-08,5,USC (10-2),5,,,Pac-10
17,2002-12-08,6,Kansas State (10-2),6,,,Big 12 (North)
17,2002-12-08,7,Washington State (10-2),7,,,Pac-10
17,2002-12-08,8,Oklahoma (11-2),8,,,Big 12 (South)
17,2002-12-08,9,Texas (10-2),9,,,Big 12 (South)
17,2002-12-08,10,Penn State (9-3),10,,,Big Ten
17,2002-12-08,11,Notre Dame (10-2),11,,,Ind
17,2002-12-08,12,Michigan (9-3),13,1,,Big Ten
17,2002-12-08,13,Alabama (10-3),14,1,,SEC (West)
17,2002-12-08,14,Colorado (9-4),12,2,,Big 12 (North)
17,2002-12-08,15,West Virginia (9-3),15,,,Big East
17,2002-12-08,16,Florida State (9-4),16,,,ACC
17,2002-12-08,17,North Carolina State (10-3),17,,,ACC
17,2002-12-08,18,Boise State (11-1),19,1,,WAC
17,2002-12-08,19,Auburn (8-4),20,1,,SEC (West)
17,2002-12-08,20,Maryland (10-3),21,1,,ACC
17,2002-12-08,21,Virginia Tech (9-4),18,3,,Big East
17,2002-12-08,22,Florida (8-4),23,1,,SEC (East)
17,2002-12-08,23,Colorado State (10-3),24,1,,MWC
17,2002-12-08,24,Pitt (8-4),25,1,,Big East
17,2002-12-08,25,Arkansas (9-4),22,3,,SEC (West)
16,2002-12-01,1,Miami (FL) (11-0),1,,73,Big East
16,2002-12-01,2,Ohio State (13-0),2,,,Big Ten
16,2002-12-01,3,Iowa (11-1),4,1,,Big Ten
16,2002-12-01,4,Georgia (11-1),5,1,,SEC (East)
16,2002-12-01,5,USC (10-2),6,1,,Pac-10
16,2002-12-01,6,Kansas State (10-2),8,2,,Big 12 (North)
16,2002-12-01,7,Washington State (9-2),9,2,,Pac-10
16,2002-12-01,8,Oklahoma (10-2),3,5,,Big 12 (South)
16,2002-12-01,9,Texas (10-2),10,1,,Big 12 (South)
16,2002-12-01,10,Penn State (9-3),11,1,,Big Ten
16,2002-12-01,11,Notre Dame (10-2),7,4,,Ind
16,2002-12-01,12,Colorado (9-3),13,1,,Big 12 (North)
16,2002-12-01,13,Michigan (9-3),12,1,,Big Ten
16,2002-12-01,14,Alabama (10-3),14,,,SEC (West)
16,2002-12-01,15,West Virginia (9-3),24,9,,Big East
16,2002-12-01,16,Florida State (9-4),23,7,,ACC
16,2002-12-01,17,North Carolina State (10-3),21,4,,ACC
16,2002-12-01,18,Virginia Tech (9-3),22,4,,Big East
16,2002-12-01,19,Boise State (11-1),19,,,WAC
16,2002-12-01,20,Auburn (8-4),20,,,SEC (West)
16,2002-12-01,21,Maryland (10-3),25,4,,ACC
16,2002-12-01,22,Arkansas (9-3),,,,SEC (West)
16,2002-12-01,23,Florida (8-4),15,8,,SEC (East)
16,2002-12-01,24,Colorado State (10-3),16,8,,MWC
16,2002-12-01,25,Pitt (8-4),17,8,,Big East
15,2002-11-24,1,Miami (FL) (10-0),1,,71,Big East
15,2002-11-24,2,Ohio State (13-0),2,,2,Big Ten
15,2002-11-24,3,Oklahoma (10-1),4,1,,Big 12 (South)
15,2002-11-24,4,Iowa (11-1),5,1,,Big Ten
15,2002-11-24,5,Georgia (10-1),6,1,,SEC (East)
15,2002-11-24,6,USC (9-2),7,1,,Pac-10
15,2002-11-24,7,Notre Dame (10-1),8,1,,Ind
15,2002-11-24,8,Kansas State (10-2),10,2,,Big 12 (North)
15,2002-11-24,9,Washington State (9-2),3,6,,Pac-10
15,2002-11-24,10,Texas (9-2),11,1,,Big 12 (South)
15,2002-11-24,11,Penn State (9-3),15,4,,Big Ten
15,2002-11-24,12,Michigan (9-3),12,,,Big Ten
15,2002-11-24,13,Colorado (8-3),16,3,,Big 12 (North)
15,2002-11-24,14,Alabama (9-3),9,5,,SEC (West)
15,2002-11-24,15,Florida (8-3),19,4,,SEC (East)
15,2002-11-24,16,Colorado State (10-2),20,4,,MWC
15,2002-11-24,17,Pitt (8-3),17,,,Big East
15,2002-11-24,18,LSU (8-3),21,3,,SEC (West)
15,2002-11-24,19,Boise State (11-1),23,4,,WAC
15,2002-11-24,20,Auburn (8-4),,,,SEC (West)
15,2002-11-24,21,North Carolina State (10-3),,,,ACC
15,2002-11-24,22,Virginia Tech (8-3),13,9,,Big East
15,2002-11-24,23,Florida State (8-4),14,9,,ACC
15,2002-11-24,24,West Virginia (8-3),,,,Big East
15,2002-11-24,25,Maryland (9-3),18,7,,ACC
14,2002-11-17,1,Miami (FL) (9-0),1,,74,Big East
14,2002-11-17,2,Ohio State (12-0),2,,,Big Ten
14,2002-11-17,3,Washington State (9-1),3,,,Pac-10
14,2002-11-17,4,Oklahoma (9-1),4,,,Big 12 (South)
14,2002-11-17,5,Iowa (11-1),6,1,,Big Ten
14,2002-11-17,6,Georgia (10-1),7,1,,SEC (East)
14,2002-11-17,7,USC (8-2),8,1,,Pac-10
14,2002-11-17,8,Notre Dame (9-1),9,1,,Ind
14,2002-11-17,9,Alabama (9-2),10,1,,SEC (West)
