Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,Alabama,2,1,62,SEC (West)
17,Final,2,Florida State,3,1,,ACC
17,Final,3,Miami (FL),1,2,,Big East
17,Final,4,Notre Dame,5,1,,Ind
17,Final,5,Michigan,7,2,,Big Ten
17,Final,6,Syracuse,6,,,Big East
17,Final,7,Texas A&M,4,3,,SWC
17,Final,8,Georgia,8,,,SEC (East)
17,Final,9,Stanford,13,4,,Pac-10
17,Final,10,Florida,14,4,,SEC (East)
17,Final,11,Washington,9,2,,Pac-10
17,Final,12,Tennessee,17,5,,SEC (East)
17,Final,13,Colorado,10,3,,Big 8
17,Final,14,Nebraska,11,3,,Big 8
17,Final,15,Washington State,18,3,,Pac-10
17,Final,16,Ole Miss,20,4,,SEC (West)
17,Final,17,North Carolina State,12,5,,ACC
17,Final,18,Ohio State,15,3,,Big Ten
17,Final,19,North Carolina,19,,,ACC
17,Final,20,Hawaii,,,,WAC
17,Final,21,Boston College,16,5,,Big East
17,Final,22,Kansas,,,,Big 8
17,Final,23,Mississippi State,24,1,,SEC (West)
17,Final,24,Fresno State,,,,WAC
17,Final,25,Wake Forest,,,,ACC
16,1992-12-08,1,Miami (FL) (11-0-0),1,,61,Big East
16,1992-12-08,2,Alabama (12-0-0),2,,1,SEC (West)
16,1992-12-08,3,Florida State (10-1-0),3,,,ACC
16,1992-12-08,4,Texas A&M (12-0-0),4,,,SWC
16,1992-12-08,5,Notre Dame (9-1-1),5,,,Ind
16,1992-12-08,6,Syracuse (9-2-0),6,,,Big East
16,1992-12-08,7,Michigan (8-0-3),7,,,Big Ten
16,1992-12-08,8,Georgia (9-2-0),8,,,SEC (East)
16,1992-12-08,9,Washington (9-2-0),10,1,,Pac-10
16,1992-12-08,10,Colorado (9-1-1),9,1,,Big 8
16,1992-12-08,11,Nebraska (9-2-0),11,,,Big 8
16,1992-12-08,12,North Carolina State (9-2-1),13,1,,ACC
16,1992-12-08,13,Stanford (9-3-0),14,1,,Pac-10
16,1992-12-08,14,Florida (8-4-0),12,2,,SEC (East)
16,1992-12-08,15,Ohio State (8-2-1),15,,,Big Ten
16,1992-12-08,16,Boston College (8-2-1),16,,,Big East
16,1992-12-08,17,Tennessee (8-3-0),17,,,SEC (East)
16,1992-12-08,18,Washington State (8-3-0),18,,,Pac-10
16,1992-12-08,19,North Carolina (8-3-0),20,1,,ACC
16,1992-12-08,20,Ole Miss (8-3-0),19,1,,SEC (West)
16,1992-12-08,21,Penn State (7-4-0),21,,,Ind
16,1992-12-08,22,Arizona (6-4-1),22,,,Pac-10
16,1992-12-08,23,USC (6-4-1),23,,,Pac-10
16,1992-12-08,24,Mississippi State (7-4-0),24,,,SEC (West)
16,1992-12-08,25,BYU (8-4-0),25,,,WAC
15,1992-12-01,1,Miami (FL) (11-0-0),1,,61,Big East
15,1992-12-01,2,Alabama (11-0-0),2,,1,SEC (West)
15,1992-12-01,3,Florida State (10-1-0),3,,,ACC
15,1992-12-01,4,Texas A&M (12-0-0),4,,,SWC
15,1992-12-01,5,Notre Dame (9-1-1),5,,,Ind
15,1992-12-01,6,Syracuse (9-2-0),8,2,,Big East
15,1992-12-01,7,Michigan (8-0-3),7,,,Big Ten
15,1992-12-01,8,Georgia (9-2-0),9,1,,SEC (East)
15,1992-12-01,9,Colorado (9-1-1),10,1,,Big 8
15,1992-12-01,10,Washington (9-2-0),11,1,,Pac-10
15,1992-12-01,11,Nebraska (8-2-0),12,1,,Big 8
15,1992-12-01,12,Florida (8-3-0),6,6,,SEC (East)
15,1992-12-01,13,North Carolina State (9-2-1),13,,,ACC
15,1992-12-01,14,Stanford (9-3-0),14,,,Pac-10
15,1992-12-01,15,Ohio State (8-2-1),15,,,Big Ten
15,1992-12-01,16,Boston College (8-2-1),17,1,,Big East
15,1992-12-01,17,Tennessee (8-3-0),18,1,,SEC (East)
15,1992-12-01,18,Washington State (8-3-0),21,3,,Pac-10
15,1992-12-01,19,Ole Miss (8-3-0),24,5,,SEC (West)
15,1992-12-01,20,North Carolina (8-3-0),20,,,ACC
15,1992-12-01,21,Penn State (7-4-0),22,1,,Ind
15,1992-12-01,22,Arizona (6-4-1),23,1,,Pac-10
15,1992-12-01,23,USC (6-4-1),19,4,,Pac-10
15,1992-12-01,24,Mississippi State (7-4-0),16,8,,SEC (West)
15,1992-12-01,25,BYU (8-4-0),25,,,WAC
14,1992-11-24,1,Miami (FL) (10-0-0),1,,61,Big East
14,1992-11-24,2,Alabama (10-0-0),2,,1,SEC (West)
14,1992-11-24,3,Florida State (9-1-0),3,,,ACC
14,1992-11-24,4,Texas A&M (11-0-0),4,,,SWC
14,1992-11-24,5,Notre Dame (8-1-1),7,2,,Ind
14,1992-11-24,6,Florida (8-2-0),9,3,,SEC (East)
14,1992-11-24,7,Michigan (8-0-3),6,1,,Big Ten
14,1992-11-24,8,Syracuse (9-2-0),8,,,Big East
14,1992-11-24,9,Georgia (8-2-0),10,1,,SEC (East)
14,1992-11-24,10,Colorado (9-1-1),11,1,,Big 8
14,1992-11-24,11,Washington (9-2-0),5,6,,Pac-10
14,1992-11-24,12,Nebraska (7-2-0),12,,,Big 8
14,1992-11-24,13,North Carolina State (9-2-1),13,,,ACC
14,1992-11-24,14,Stanford (9-3-0),14,,,Pac-10
14,1992-11-24,15,Ohio State (8-2-1),17,2,,Big Ten
14,1992-11-24,16,Mississippi State (7-3-0),18,2,,SEC (West)
14,1992-11-24,17,Boston College (8-2-1),19,2,,Big East
14,1992-11-24,18,Tennessee (7-3-0),20,2,,SEC (East)
14,1992-11-24,19,USC (6-3-1),15,4,,Pac-10
14,1992-11-24,20,North Carolina (8-3-0),21,1,,ACC
14,1992-11-24,21,Washington State (8-3-0),,,,Pac-10
14,1992-11-24,22,Penn State (7-4-0),23,1,,Ind
14,1992-11-24,23,Arizona (6-4-1),16,7,,Pac-10
14,1992-11-24,24,Ole Miss (7-3-0),24,,,SEC (West)
14,1992-11-24,25,BYU (8-4-0),,,,WAC
13,1992-11-17,1,Miami (FL) (9-0-0),1,,61,Big East
13,1992-11-17,2,Alabama (10-0-0),2,,1,SEC (West)
13,1992-11-17,3,Florida State (9-1-0),5,2,,ACC
13,1992-11-17,4,Texas A&M (10-0-0),4,,,SWC
13,1992-11-17,5,Washington (9-1-0),6,1,,Pac-10
13,1992-11-17,6,Michigan (8-0-2),3,3,,Big Ten
13,1992-11-17,7,Notre Dame (8-1-1),8,1,,Ind
13,1992-11-17,8,Syracuse (9-1-0),10,2,,Big East
13,1992-11-17,9,Florida (7-2-0),11,2,,SEC (East)
13,1992-11-17,10,Georgia (8-2-0),12,2,,SEC (East)
13,1992-11-17,11,Colorado (8-1-1),13,2,,Big 8
13,1992-11-17,12,Nebraska (7-2-0),7,5,,Big 8
13,1992-11-17,13,North Carolina State (8-2-1),14,1,,ACC
13,1992-11-17,14,Stanford (8-3-0),15,1,,Pac-10
13,1992-11-17,15,USC (6-2-1),18,3,,Pac-10
13,1992-11-17,16,Arizona (6-3-1),9,7,,Pac-10
13,1992-11-17,17,Ohio State (8-2-0),19,2,,Big Ten
13,1992-11-17,18,Mississippi State (7-3-0),16,2,,SEC (West)
13,1992-11-17,19,Boston College (7-2-1),17,2,,Big East
13,1992-11-17,20,Tennessee (6-3-0),23,3,,SEC (East)
13,1992-11-17,21,North Carolina (7-3-0),25,4,,ACC
13,1992-11-17,22,Kansas (7-3-0),20,2,,Big 8
13,1992-11-17,23,Penn State (6-4-0),22,1,,Ind
13,1992-11-17,24,Ole Miss (7-3-0),,,,SEC (West)
13,1992-11-17,25,Wake Forest (7-3-0),,,,ACC
12,1992-11-10,1,Miami (FL) (8-0-0),2,1,61,Big East
12,1992-11-10,2,Alabama (9-0-0),3,1,1,SEC (West)
12,1992-11-10,3,Michigan (8-0-1),4,1,,Big Ten
12,1992-11-10,4,Texas A&M (9-0-0),5,1,,SWC
12,1992-11-10,5,Florida State (8-1-0),6,1,,ACC
12,1992-11-10,6,Washington (8-1-0),1,5,,Pac-10
12,1992-11-10,7,Nebraska (7-1-0),7,,,Big 8
12,1992-11-10,8,Notre Dame (7-1-1),8,,,Ind
12,1992-11-10,9,Arizona (6-2-1),12,3,,Pac-10
12,1992-11-10,10,Syracuse (8-1-0),10,,,Big East
12,1992-11-10,11,Florida (6-2-0),14,3,,SEC (East)
12,1992-11-10,12,Georgia (7-2-0),15,3,,SEC (East)
12,1992-11-10,13,Colorado (7-1-1),16,3,,Big 8
12,1992-11-10,14,North Carolina State (7-2-1),17,3,,ACC
12,1992-11-10,15,Stanford (7-3-0),21,6,,Pac-10
12,1992-11-10,16,Mississippi State (7-2-0),19,3,,SEC (West)
12,1992-11-10,17,Boston College (7-1-1),9,8,,Big East
12,1992-11-10,18,USC (5-2-1),11,7,,Pac-10
12,1992-11-10,19,Ohio State (7-2-0),22,3,,Big Ten
12,1992-11-10,20,Kansas (7-2-0),13,7,,Big 8
12,1992-11-10,21,Washington State (7-2-0),25,4,,Pac-10
12,1992-11-10,22,Penn State (6-3-0),23,1,,Ind
12,1992-11-10,23,Tennessee (5-3-0),24,1,,SEC (East)
12,1992-11-10,24,Hawaii (7-1-0),,,,WAC
12,1992-11-10,25,North Carolina (7-3-0),18,7,,ACC
11,1992-11-03,1,Washington (8-0-0),2,1,33,Pac-10
11,1992-11-03,2,Miami (FL) (8-0-0),1,1,27,Big East
11,1992-11-03,3,Alabama (8-0-0),4,1,1,SEC (West)
11,1992-11-03,4,Michigan (7-0-1),3,1,,Big Ten
11,1992-11-03,5,Texas A&M (8-0-0),5,,,SWC
11,1992-11-03,6,Florida State (7-1-0),6,,,ACC
11,1992-11-03,7,Nebraska (6-1-0),8,1,,Big 8
11,1992-11-03,8,Notre Dame (6-1-1),10,2,,Ind
11,1992-11-03,9,Boston College (7-0-1),11,2,,Big East
11,1992-11-03,10,Syracuse (7-1-0),12,2,,Big East
11,1992-11-03,11,USC (5-1-1),13,2,,Pac-10
11,1992-11-03,12,Arizona (5-2-1),17,5,,Pac-10
11,1992-11-03,13,Kansas (7-1-0),18,5,,Big 8
11,1992-11-03,14,Florida (5-2-0),20,6,,SEC (East)
11,1992-11-03,15,Georgia (7-2-0),7,8,,SEC (East)
11,1992-11-03,16,Colorado (6-1-1),8,8,,Big 8
11,1992-11-03,17,North Carolina State (6-2-1),21,4,,ACC
11,1992-11-03,18,North Carolina (7-2-0),22,4,,ACC
11,1992-11-03,19,Mississippi State (6-2-0),24,5,,SEC (West)
11,1992-11-03,20,Texas (5-2-0),25,5,,SWC
11,1992-11-03,21,Stanford (6-3-0),15,6,,Pac-10
11,1992-11-03,22,Ohio State (6-2-0),,,,Big Ten
11,1992-11-03,23,Penn State (6-3-0),14,9,,Ind
11,1992-11-03,24,Tennessee (5-3-0),16,8,,SEC (East)
