Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,Florida,1,,48,SEC (East)
17,Final,2,Utah,7,5,16,MWC
17,Final,3,USC,5,2,1,Pac-10
17,Final,4,Texas,3,1,,Big 12 (South)
17,Final,5,Oklahoma,2,3,,Big 12 (South)
17,Final,6,Alabama,4,2,,SEC (West)
17,Final,7,Texas Christian,11,4,,MWC
17,Final,8,Penn State,6,2,,Big Ten
17,Final,9,Ohio State,10,1,,Big Ten
17,Final,10,Oregon,15,5,,Pac-10
17,Final,11,Boise State,9,2,,WAC
17,Final,12,Texas Tech,8,4,,Big 12 (South)
17,Final,13,Georgia,16,3,,SEC (East)
17,Final,14,Ole Miss,20,6,,SEC (West)
17,Final,15,Virginia Tech,21,6,,ACC (Coastal)
17,Final,16,Oklahoma State,13,3,,Big 12 (South)
17,Final,17,Cincinnati,12,5,,Big East
17,Final,18,Oregon State,24,6,,Pac-10
17,Final,19,Missouri,25,6,,Big 12 (North)
17,Final,20,Iowa,,,,Big Ten
17,Final,21,Florida State,,,,ACC (Atlantic)
17,Final,22,Georgia Tech,14,8,,ACC (Coastal)
17,Final,23,West Virginia,,,,Big East
17,Final,24,Michigan State,19,5,,Big Ten
17,Final,25,BYU,17,8,,MWC
16,2008-12-07,1,Florida (12-1),2,1,50,SEC (East)
16,2008-12-07,2,Oklahoma (12-1),4,2,9,Big 12 (South)
16,2008-12-07,3,Texas (11-1),3,,6,Big 12 (South)
16,2008-12-07,4,Alabama (12-1),1,3,,SEC (West)
16,2008-12-07,5,USC (11-1),5,,,Pac-10
16,2008-12-07,6,Penn State (11-1),6,,,Big Ten
16,2008-12-07,7,Utah (12-0),7,,,MWC
16,2008-12-07,8,Texas Tech (11-1),8,,,Big 12 (South)
16,2008-12-07,9,Boise State (12-0),9,,,WAC
16,2008-12-07,10,Ohio State (10-2),10,,,Big Ten
16,2008-12-07,11,Texas Christian (10-2),11,,,MWC
16,2008-12-07,12,Cincinnati (11-2),13,1,,Big East
16,2008-12-07,13,Oklahoma State (9-3),14,1,,Big 12 (South)
16,2008-12-07,14,Georgia Tech (9-3),15,1,,ACC (Coastal)
16,2008-12-07,15,Oregon (9-3),16,1,,Pac-10
16,2008-12-07,16,Georgia (9-3),17,1,,SEC (East)
16,2008-12-07,17,BYU (10-2),20,3,,MWC
16,2008-12-07,18,Pitt (9-3),23,5,,Big East
16,2008-12-07,19,Michigan State (9-3),21,2,,Big Ten
16,2008-12-07,20,Ole Miss (8-4),22,2,,SEC (West)
16,2008-12-07,21,Virginia Tech (9-4),,,,ACC (Coastal)
16,2008-12-07,22,Northwestern (9-3),24,2,,Big Ten
16,2008-12-07,23,Ball State (12-1),12,11,,MAC (West)
16,2008-12-07,24,Oregon State (8-4),25,1,,Pac-10
16,2008-12-07,25,Missouri (9-4),19,6,,Big 12 (North)
15,2008-11-30,1,Alabama (12-0),1,,62,SEC (West)
15,2008-11-30,2,Florida (11-1),2,,3,SEC (East)
15,2008-11-30,3,Texas (11-1),4,1,,Big 12 (South)
15,2008-11-30,4,Oklahoma (11-1),3,1,,Big 12 (South)
15,2008-11-30,5,USC (10-1),5,,,Pac-10
15,2008-11-30,6,Penn State (11-1),6,,,Big Ten
15,2008-11-30,7,Utah (12-0),8,1,,MWC
15,2008-11-30,8,Texas Tech (11-1),7,1,,Big 12 (South)
15,2008-11-30,9,Boise State (12-0),9,,,WAC
15,2008-11-30,10,Ohio State (10-2),10,,,Big Ten
15,2008-11-30,11,Texas Christian (10-2),14,3,,MWC
15,2008-11-30,12,Ball State (12-0),15,3,,MAC (West)
15,2008-11-30,13,Cincinnati (10-2),16,3,,Big East
15,2008-11-30,14,Oklahoma State (9-3),11,3,,Big 12 (South)
15,2008-11-30,15,Georgia Tech (9-3),18,3,,ACC (Coastal)
15,2008-11-30,16,Oregon (9-3),19,3,,Pac-10
15,2008-11-30,17,Georgia (9-3),13,4,,SEC (East)
15,2008-11-30,18,Boston College (9-3),20,2,,ACC (Atlantic)
15,2008-11-30,19,Missouri (9-3),12,7,,Big 12 (North)
15,2008-11-30,20,BYU (10-2),20,,,MWC
15,2008-11-30,21,Michigan State (9-3),22,1,,Big Ten
15,2008-11-30,22,Ole Miss (8-4),25,3,,SEC (West)
15,2008-11-30,23,Pitt (8-3),,,,Big East
15,2008-11-30,24,Northwestern (9-3),24,,,Big Ten
15,2008-11-30,25,Oregon State (8-4),17,8,,Pac-10
14,2008-11-23,1,Alabama (11-0),1,,63,SEC (West)
14,2008-11-23,2,Florida (10-1),3,1,2,SEC (East)
14,2008-11-23,3,Oklahoma (10-1),5,2,,Big 12 (South)
14,2008-11-23,4,Texas (10-1),4,,,Big 12 (South)
14,2008-11-23,5,USC (9-1),6,1,,Pac-10
14,2008-11-23,6,Penn State (11-1),7,1,,Big Ten
14,2008-11-23,7,Texas Tech (10-1),2,5,,Big 12 (South)
14,2008-11-23,8,Utah (12-0),8,,,MWC
14,2008-11-23,9,Boise State (11-0),9,,,WAC
14,2008-11-23,10,Ohio State (10-2),10,,,Big Ten
14,2008-11-23,11,Oklahoma State (9-2),11,,,Big 12 (South)
14,2008-11-23,12,Missouri (9-2),12,,,Big 12 (North)
14,2008-11-23,13,Georgia (9-2),13,,,SEC (East)
14,2008-11-23,14,Texas Christian (10-2),15,1,,MWC
14,2008-11-23,15,Ball State (11-0),14,1,,MAC (West)
14,2008-11-23,16,Cincinnati (9-2),19,3,,Big East
14,2008-11-23,17,Oregon State (8-3),21,4,,Pac-10
14,2008-11-23,18,Georgia Tech (8-3),,,,ACC (Coastal)
14,2008-11-23,19,Oregon (8-3),24,5,,Pac-10
14,2008-11-23,20,Boston College (8-3),,,,ACC (Atlantic)
14,2008-11-23,20,BYU (10-2),16,4,,MWC
14,2008-11-23,22,Michigan State (9-3),17,5,,Big Ten
14,2008-11-23,23,Florida State (8-3),,,,ACC (Atlantic)
14,2008-11-23,24,Northwestern (9-3),,,,Big Ten
14,2008-11-23,25,Ole Miss (7-4),,,,SEC (West)
13,2008-11-16,1,Alabama (11-0),1,,42,SEC (West)
13,2008-11-16,2,Texas Tech (10-0),2,,21,Big 12 (South)
13,2008-11-16,3,Florida (9-1),3,,2,SEC (East)
13,2008-11-16,4,Texas (10-1),4,,,Big 12 (South)
13,2008-11-16,5,Oklahoma (9-1),5,,,Big 12 (South)
13,2008-11-16,6,USC (9-1),6,,,Pac-10
13,2008-11-16,7,Penn State (10-1),7,,,Big Ten
13,2008-11-16,8,Utah (11-0),8,,,MWC
13,2008-11-16,9,Boise State (10-0),9,,,WAC
13,2008-11-16,10,Ohio State (9-2),10,,,Big Ten
13,2008-11-16,11,Oklahoma State (9-2),11,,,Big 12 (South)
13,2008-11-16,12,Missouri (9-2),12,,,Big 12 (North)
13,2008-11-16,13,Georgia (9-2),13,,,SEC (East)
13,2008-11-16,14,Ball State (10-0),14,,,MAC (West)
13,2008-11-16,15,Texas Christian (9-2),15,,,MWC
13,2008-11-16,16,BYU (10-1),16,,,MWC
13,2008-11-16,17,Michigan State (9-2),18,1,,Big Ten
13,2008-11-16,18,LSU (7-3),19,1,,SEC (West)
13,2008-11-16,19,Cincinnati (8-2),22,3,,Big East
13,2008-11-16,20,Pitt (7-2),21,1,,Big East
13,2008-11-16,21,Oregon State (7-3),23,2,,Pac-10
13,2008-11-16,22,Maryland (7-3),,,,ACC (Atlantic)
13,2008-11-16,23,Miami (FL) (7-3),,,,ACC (Coastal)
13,2008-11-16,24,Oregon (8-3),,,,Pac-10
13,2008-11-16,25,North Carolina (7-3),17,8,,ACC (Coastal)
12,2008-11-09,1,Alabama (10-0),1,,44,SEC (West)
12,2008-11-09,2,Texas Tech (10-0),2,,21,Big 12 (South)
12,2008-11-09,3,Florida (8-1),4,1,,SEC (East)
