Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,Oklahoma,1,,71,Big 12 (South)
17,Final,2,Miami (FL),2,,,Big East
17,Final,3,Washington,4,1,,Pac-10
17,Final,4,Oregon State,5,1,,Pac-10
17,Final,5,Florida State,3,2,,ACC
17,Final,6,Virginia Tech,6,,,Big East
17,Final,7,Oregon,8,1,,Pac-10
17,Final,8,Nebraska,9,1,,Big 12 (North)
17,Final,9,Kansas State,11,2,,Big 12 (North)
17,Final,10,Florida,7,3,,SEC (East)
17,Final,11,Michigan,17,6,,Big Ten
17,Final,12,Texas,12,,,Big 12 (South)
17,Final,13,Purdue,14,1,,Big Ten
17,Final,14,Colorado State,23,9,,MWC
17,Final,15,Notre Dame,10,5,,Ind
17,Final,16,Clemson,16,,,ACC
17,Final,17,Georgia Tech,15,2,,ACC
17,Final,18,Auburn,20,2,,SEC (West)
17,Final,19,South Carolina,,,,SEC (East)
17,Final,20,Georgia,24,4,,SEC (East)
17,Final,21,Texas Christian,13,8,,WAC
17,Final,22,LSU,,,,SEC (West)
17,Final,23,Wisconsin,,,,Big Ten
17,Final,24,Mississippi State,,,,SEC (West)
17,Final,25,Iowa State,,,,Big 12 (North)
16,2000-12-03,1,Oklahoma (12-0),1,,67,Big 12 (South)
16,2000-12-03,2,Miami (FL) (10-1),2,,3,Big East
16,2000-12-03,3,Florida State (11-1),3,,1,ACC
16,2000-12-03,4,Washington (10-1),4,,,Pac-10
16,2000-12-03,5,Oregon State (10-1),5,,,Pac-10
16,2000-12-03,6,Virginia Tech (10-1),6,,,Big East
16,2000-12-03,7,Florida (10-2),7,,,SEC (East)
16,2000-12-03,8,Oregon (9-2),9,1,,Pac-10
16,2000-12-03,9,Nebraska (9-2),10,1,,Big 12 (North)
16,2000-12-03,10,Notre Dame (9-2),11,1,,Ind
16,2000-12-03,11,Kansas State (10-3),8,3,,Big 12 (North)
16,2000-12-03,12,Texas (9-2),12,,,Big 12 (South)
16,2000-12-03,13,Texas Christian (10-1),13,,,WAC
16,2000-12-03,14,Purdue (8-3),14,,,Big Ten
16,2000-12-03,15,Georgia Tech (9-2),17,2,,ACC
16,2000-12-03,16,Clemson (9-2),15,1,,ACC
16,2000-12-03,17,Michigan (8-3),16,1,,Big Ten
16,2000-12-03,18,Northwestern (8-3),19,1,,Big Ten
16,2000-12-03,19,Ohio State (8-3),20,1,,Big Ten
16,2000-12-03,20,Auburn (9-3),18,2,,SEC (West)
16,2000-12-03,21,Tennessee (8-3),21,,,SEC (East)
16,2000-12-03,22,Louisville (9-2),22,,,CUSA
16,2000-12-03,23,Colorado State (9-2),23,,,MWC
16,2000-12-03,24,Georgia (7-4),24,,,SEC (East)
16,2000-12-03,25,Toledo (10-1),25,,,MAC (West)
15,2000-11-26,1,Oklahoma (11-0),1,,64,Big 12 (South)
15,2000-11-26,2,Miami (FL) (10-1),2,,6,Big East
